collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
dl212223,llm,5,0.01,uniform,0.01,0.0,0.8451745601413866,1591.6,1387.9766666666667,0.0,shared,full,t
dl212223,llm,5,0.01,weighted,0.12666666666666668,0.0,0.12093038113772167,1589.8333333333333,1387.9766666666667,0.0,shared,full,t
dl212223,llm,5,0.01,active_judge,0.023333333333333334,0.0,0.43398290710073695,1590.65,1387.9766666666667,0.0,shared,full,t
dl212223,llm,5,0.01,strat_pilot,0.15,0.0,0.12315439923478465,1592.44,1387.9766666666667,0.0,shared,full,t
dl212223,llm,5,0.01,weighted_cv,0.08666666666666667,0.0,0.11761292904378465,1591.9766666666667,1387.9766666666667,0.0,shared,full,t
dl212223,llm,5,0.01,active_cv,0.06333333333333334,0.0,0.3230276603263098,1590.6566666666668,1387.9766666666667,0.0,shared,full,t
dl212223,llm,5,0.01,weighted_cvl,0.14666666666666667,0.0,0.09440757368583695,1589.5333333333333,1387.9766666666667,0.0,shared,full,t
dl212223,llm,5,0.02,uniform,0.02,0.0,0.8406423089051759,1588.77,1383.7033333333334,0.0,shared,full,t
dl212223,llm,5,0.02,weighted,0.15333333333333332,0.0,0.12910262577142423,1587.56,1383.7033333333334,0.0,shared,full,t
dl212223,llm,5,0.02,active_judge,0.05,0.0,0.423809048481816,1588.1433333333334,1383.7033333333334,0.0,shared,full,t
dl212223,llm,5,0.02,strat_pilot,0.18333333333333332,0.0033333333333333335,0.12300247961863287,1588.1566666666668,1383.7033333333334,0.0,shared,full,t
dl212223,llm,5,0.02,weighted_cv,0.16,0.0,0.12344025575409856,1587.7,1383.7033333333334,0.0,shared,full,t
dl212223,llm,5,0.02,active_cv,0.05333333333333334,0.0,0.35376266155022834,1587.93,1383.7033333333334,0.0,shared,full,t
dl212223,llm,5,0.02,weighted_cvl,0.17666666666666667,0.0,0.1021507333708934,1587.57,1383.7033333333334,0.0,shared,full,t
dl212223,llm,10,0.01,uniform,0.016666666666666666,0.0,0.6848015433116736,1797.1966666666667,1389.1633333333334,0.0,shared,full,t
dl212223,llm,10,0.01,weighted,0.24666666666666667,0.0,0.12363199212973448,1794.9,1389.1633333333334,0.0,shared,full,t
dl212223,llm,10,0.01,active_judge,0.04,0.0,0.43514386594180793,1795.3333333333333,1389.1633333333334,0.0,shared,full,t
dl212223,llm,10,0.01,strat_pilot,0.22333333333333333,0.0,0.12384750895427385,1796.7333333333333,1389.1633333333334,0.0,shared,full,t
dl212223,llm,10,0.01,weighted_cv,0.27,0.0,0.1191298653232441,1795.8333333333333,1389.1633333333334,0.0,shared,full,t
dl212223,llm,10,0.01,active_cv,0.09,0.0,0.32983615182172593,1795.4233333333334,1389.1633333333334,0.0,shared,full,t
dl212223,llm,10,0.01,weighted_cvl,0.3,0.0,0.10037347952060711,1794.3,1389.1633333333334,0.0,shared,full,t
dl212223,llm,10,0.02,uniform,0.043333333333333335,0.0,0.7131439000988117,1794.08,1387.21,0.0,shared,full,t
dl212223,llm,10,0.02,weighted,0.4066666666666667,0.0,0.12499654761743297,1793.9866666666667,1387.21,0.0,shared,full,t
dl212223,llm,10,0.02,active_judge,0.09333333333333334,0.0,0.4279199351249785,1794.37,1387.21,0.0,shared,full,t
dl212223,llm,10,0.02,strat_pilot,0.4066666666666667,0.0,0.12298397041005774,1793.8533333333332,1387.21,0.0,shared,full,t
dl212223,llm,10,0.02,weighted_cv,0.3466666666666667,0.0,0.11981855177298523,1795.35,1387.21,0.0,shared,full,t
dl212223,llm,10,0.02,active_cv,0.16,0.0,0.3253030842223421,1793.9166666666667,1387.21,0.0,shared,full,t
dl212223,llm,10,0.02,weighted_cvl,0.4166666666666667,0.0,0.09948756819062422,1794.5133333333333,1387.21,0.0,shared,full,t
dl212223,llm,15,0.01,uniform,0.03333333333333333,0.006666666666666667,0.6848038678769213,1997.66,1388.95,0.0,shared,full,t
dl212223,llm,15,0.01,weighted,0.38666666666666666,0.0,0.1244519273568901,1997.7033333333334,1388.95,0.0,shared,full,t
dl212223,llm,15,0.01,active_judge,0.12666666666666668,0.0033333333333333335,0.4244827239733228,1999.03,1388.95,0.0,shared,full,t
dl212223,llm,15,0.01,strat_pilot,0.38333333333333336,0.0,0.12351380292702271,1999.01,1388.95,0.0,shared,full,t
dl212223,llm,15,0.01,weighted_cv,0.36666666666666664,0.0,0.11898863428327543,2002.9033333333334,1388.95,0.0,shared,full,t
dl212223,llm,15,0.01,active_cv,0.16333333333333333,0.0,0.32736970730726156,1998.4966666666667,1388.95,0.0,shared,full,t
dl212223,llm,15,0.01,weighted_cvl,0.46,0.0,0.09708937916933756,1998.5766666666666,1388.95,0.0,shared,full,t
dl212223,llm,15,0.02,uniform,0.06333333333333334,0.006666666666666667,0.6906223762769147,1998.7833333333333,1388.7033333333334,0.0,shared,full,t
dl212223,llm,15,0.02,weighted,0.46,0.0,0.1249188116233649,1998.24,1388.7033333333334,0.0,shared,full,t
dl212223,llm,15,0.02,active_judge,0.12666666666666668,0.0,0.4269620810365337,1997.76,1388.7033333333334,0.0,shared,full,t
dl212223,llm,15,0.02,strat_pilot,0.5166666666666667,0.0,0.12367388262611224,1998.29,1388.7033333333334,0.0,shared,full,t
dl212223,llm,15,0.02,weighted_cv,0.5166666666666667,0.0033333333333333335,0.12051707886048404,1995.7933333333333,1388.7033333333334,0.0,shared,full,t
dl212223,llm,15,0.02,active_cv,0.2,0.0,0.33020822457704924,1997.0233333333333,1388.7033333333334,0.0,shared,full,t
dl212223,llm,15,0.02,weighted_cvl,0.61,0.0,0.10001533726770066,1998.6933333333334,1388.7033333333334,0.0,shared,full,t
