collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
dl212223,llm,20,0.01,uniform,0.0,0.0,0.8025857886191741,856.7951807228916,824.43,0.0029816052976996436,per_pair,cutoff,t
dl212223,llm,20,0.01,weighted,0.0,0.0,0.1021180591463112,851.2409638554217,824.43,0.006320429948065686,per_pair,cutoff,t
dl212223,llm,20,0.01,active_judge,0.0,0.0,0.3512345762264706,843.144578313253,824.43,0.015433536833843844,per_pair,cutoff,t
dl212223,llm,20,0.01,strat_pilot,0.0,0.0,0.10773007023855512,851.6867469879518,824.43,0.00653864552086428,per_pair,cutoff,t
dl212223,llm,20,0.01,weighted_cv,0.0,0.0,0.10335394186768557,851.5542168674699,824.43,0.005868220430013014,per_pair,cutoff,t
dl212223,llm,20,0.01,active_cv,0.0,0.0,0.23915898699968086,843.1686746987951,824.43,0.015733721950255533,per_pair,cutoff,t
dl212223,llm,20,0.01,weighted_cvl,0.0,0.0,0.07908517517414305,852.6265060240963,824.43,0.006036282236158466,per_pair,cutoff,t
dl212223,llm,20,0.02,uniform,0.0033333333333333335,0.0,0.398081899615862,858.1237113402062,822.1,0.002965236418108215,per_pair,cutoff,t
dl212223,llm,20,0.02,weighted,0.0,0.0,0.09356890165919823,853.2680412371134,822.1,0.00560933712493889,per_pair,cutoff,t
dl212223,llm,20,0.02,active_judge,0.0,0.0,0.3321822610996427,845.7835051546392,822.1,0.015311834763566975,per_pair,cutoff,t
dl212223,llm,20,0.02,strat_pilot,0.01,0.0,0.10458611346834591,853.3298969072165,822.1,0.006509922051928832,per_pair,cutoff,t
dl212223,llm,20,0.02,weighted_cv,0.006666666666666667,0.0,0.09549318630444593,851.2680412371134,822.1,0.006024363781823559,per_pair,cutoff,t
dl212223,llm,20,0.02,active_cv,0.0033333333333333335,0.0,0.2627036295922975,845.1958762886597,822.1,0.015586370189920831,per_pair,cutoff,t
dl212223,llm,20,0.02,weighted_cvl,0.0,0.0,0.08284968042646489,852.5670103092783,822.1,0.006060998633621238,per_pair,cutoff,t
dl212223,llm,30,0.01,uniform,0.006666666666666667,0.0,0.4881872469740744,1610.7566666666667,815.9266666666666,0.01468389778765277,per_pair,cutoff,t
dl212223,llm,30,0.01,weighted,0.22333333333333333,0.0,0.10199548527875588,1566.29,815.9266666666666,0.030533056430547774,per_pair,cutoff,t
dl212223,llm,30,0.01,active_judge,0.03666666666666667,0.0,0.3529609390865658,1493.1133333333332,815.9266666666666,0.07620121297758345,per_pair,cutoff,t
dl212223,llm,30,0.01,strat_pilot,0.20666666666666667,0.0,0.10234254044003328,1563.9933333333333,815.9266666666666,0.031402621910203696,per_pair,cutoff,t
dl212223,llm,30,0.01,weighted_cv,0.21,0.0,0.09815342333524407,1566.8033333333333,815.9266666666666,0.030273458509131837,per_pair,cutoff,t
dl212223,llm,30,0.01,active_cv,0.07,0.0,0.26360899680028477,1492.96,815.9266666666666,0.07592911019995002,per_pair,cutoff,t
dl212223,llm,30,0.01,weighted_cvl,0.31333333333333335,0.0033333333333333335,0.0788658149168105,1564.46,815.9266666666666,0.03025814524448976,per_pair,cutoff,t
dl212223,llm,30,0.02,uniform,0.02666666666666667,0.0,0.5210304258743577,1600.6533333333334,820.2,0.014776331741220764,per_pair,cutoff,t
dl212223,llm,30,0.02,weighted,0.4,0.0,0.10326981795301649,1559.1066666666666,820.2,0.030850470569757173,per_pair,cutoff,t
dl212223,llm,30,0.02,active_judge,0.05333333333333334,0.0,0.3532595694820207,1487.0566666666666,820.2,0.07609677815704383,per_pair,cutoff,t
dl212223,llm,30,0.02,strat_pilot,0.38,0.0033333333333333335,0.10252855434598464,1559.4266666666667,820.2,0.031678678870222535,per_pair,cutoff,t
dl212223,llm,30,0.02,weighted_cv,0.35333333333333333,0.0,0.09911696425999417,1558.9333333333334,820.2,0.030656887984494403,per_pair,cutoff,t
dl212223,llm,30,0.02,active_cv,0.11666666666666667,0.0,0.27438591271473056,1488.9233333333334,820.2,0.07582939293808741,per_pair,cutoff,t
dl212223,llm,30,0.02,weighted_cvl,0.5,0.0033333333333333335,0.08160195626559101,1560.2733333333333,820.2,0.03034967912419148,per_pair,cutoff,t
dl212223,llm,45,0.01,uniform,0.07,0.0,0.3648633842594635,2760.7166666666667,814.1266666666667,0.03032441289731491,per_pair,cutoff,t
dl212223,llm,45,0.01,weighted,0.5466666666666666,0.0,0.07135849967298784,2623.7066666666665,814.1266666666667,0.06038228079100725,per_pair,cutoff,t
dl212223,llm,45,0.01,active_judge,0.21666666666666667,0.0,0.21376657824971165,2449.0933333333332,814.1266666666667,0.12490431803593684,per_pair,cutoff,t
