collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
dl212223,llm,15,0.01,uniform,0.06666666666666667,0.0,0.688134726269419,1997.8033333333333,1386.63,0.0,shared,full,t,0.04666666666666667,0.06666666666666667
dl212223,llm,15,0.01,uniform_nz,0.09333333333333334,0.0,0.3616336568479683,2000.7166666666667,1386.63,0.0,shared,full,t,0.06666666666666667,0.09333333333333334
dl212223,llm,15,0.01,weighted,0.5433333333333333,0.0,0.12368609718579762,1998.0033333333333,1386.63,0.0,shared,full,t,0.3933333333333333,0.5
dl212223,llm,15,0.01,active_judge,0.19,0.006666666666666667,0.43094701464563057,2001.12,1386.63,0.0,shared,full,t,0.13333333333333333,0.17
dl212223,llm,15,0.01,strat_pilot,0.5166666666666667,0.0,0.12477259263469985,1998.9533333333334,1386.63,0.0,shared,full,t,0.35,0.43666666666666665
dl212223,llm,15,0.01,weighted_cv,0.6033333333333334,0.0,0.11995272281316233,1998.3566666666666,1386.63,0.0,shared,full,t,0.4166666666666667,0.5
dl212223,llm,15,0.01,active_cv,0.21666666666666667,0.0,0.3325529349006924,2001.28,1386.63,0.0,shared,full,t,0.15333333333333332,0.18666666666666668
dl212223,llm,15,0.01,weighted_cvl,0.6466666666666666,0.0,0.0995736709301221,2001.31,1386.63,0.0,shared,full,t,0.49333333333333335,0.5866666666666667
dl212223,llm,15,0.02,uniform,0.10333333333333333,0.0033333333333333335,0.641086862523024,1996.32,1387.06,0.0,shared,full,t,0.07666666666666666,0.10333333333333333
dl212223,llm,15,0.02,uniform_nz,0.15,0.0033333333333333335,0.34043795982584213,1998.93,1387.06,0.0,shared,full,t,0.09666666666666666,0.13666666666666666
dl212223,llm,15,0.02,weighted,0.6366666666666667,0.0,0.1260561487216703,1996.7,1387.06,0.0,shared,full,t,0.4766666666666667,0.5866666666666667
dl212223,llm,15,0.02,active_judge,0.18,0.0,0.4531457320457729,1998.2566666666667,1387.06,0.0,shared,full,t,0.13,0.16
dl212223,llm,15,0.02,strat_pilot,0.63,0.0033333333333333335,0.1252861675642114,1997.69,1387.06,0.0,shared,full,t,0.49666666666666665,0.5833333333333334
dl212223,llm,15,0.02,weighted_cv,0.7166666666666667,0.0,0.12064922319747988,1998.3633333333332,1387.06,0.0,shared,full,t,0.5466666666666666,0.6633333333333333
dl212223,llm,15,0.02,active_cv,0.29333333333333333,0.0,0.33698943612759524,1998.38,1387.06,0.0,shared,full,t,0.22333333333333333,0.2866666666666667
dl212223,llm,15,0.02,weighted_cvl,0.73,0.0,0.09870123853578634,1997.4333333333334,1387.06,0.0,shared,full,t,0.5966666666666667,0.6933333333333334
