collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
dl212223,llm,15,0.01,uniform,0,2002,1370,0,0,0.0,0.6197515777282488,0.11636657073788252,0.04148722927088118,0.01,211,4,159
dl212223,llm,15,0.01,uniform_nz,0,2020,1370,0,0,0.0,0.35521053989557716,0.11636657073788252,0.04148722927088118,0.01,211,4,159
dl212223,llm,15,0.01,weighted,0,1995,1370,1,0,0.0,0.11636657073788252,0.11636657073788252,0.04148722927088118,0.01,211,4,159
dl212223,llm,15,0.01,active_judge,0,2000,1370,0,0,0.0,0.4975346889826847,0.11636657073788252,0.04148722927088118,0.01,211,4,159
dl212223,llm,15,0.01,strat_pilot,0,1947,1370,1,0,0.0,0.11635553963335007,0.11636657073788252,0.04148722927088118,0.01,211,4,159
dl212223,llm,15,0.01,weighted_cv,0,1985,1370,1,0,0.0,0.10024744383281728,0.11636657073788252,0.04148722927088118,0.01,211,4,159
dl212223,llm,15,0.01,active_cv,0,2040,1370,0,0,0.0,0.2958601859509693,0.11636657073788252,0.04148722927088118,0.01,211,4,159
dl212223,llm,15,0.01,weighted_cvl,0,2019,1370,0,0,0.0,0.06869586215873932,0.11636657073788252,0.04148722927088118,0.01,211,4,159
dl212223,llm,15,0.01,uniform,1,2053,1402,0,0,0.0,0.2576475405088031,0.08237092424130019,0.01489086841616244,0.01,211,4,159
dl212223,llm,15,0.01,uniform_nz,1,2081,1402,0,0,0.0,0.15946109464360778,0.08237092424130019,0.01489086841616244,0.01,211,4,159
dl212223,llm,15,0.01,weighted,1,2007,1402,1,0,0.0,0.08237092424130019,0.08237092424130019,0.01489086841616244,0.01,211,4,159
dl212223,llm,15,0.01,active_judge,1,2041,1402,0,0,0.0,0.2039170978595018,0.08237092424130019,0.01489086841616244,0.01,211,4,159
dl212223,llm,15,0.01,strat_pilot,1,2063,1402,0,0,0.0,0.08252488049945941,0.08237092424130019,0.01489086841616244,0.01,211,4,159
