collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
dl212223,llm,45,0.01,uniform,0.28,0.0,0.2383223542822156,3233.6266666666666,1388.36,0.0,shared,full,t
dl212223,llm,45,0.01,weighted,0.89,0.0,0.05178858618631642,3234.46,1388.36,0.0,shared,full,t
dl212223,llm,45,0.01,active_judge,0.6566666666666666,0.0,0.1112513978845282,3228.5466666666666,1388.36,0.0,shared,full,t
dl212223,llm,45,0.01,strat_pilot,0.89,0.0,0.05246345540453217,3230.3533333333335,1388.36,0.0,shared,full,t
dl212223,llm,45,0.01,weighted_cv,0.8966666666666666,0.0,0.05204890043701306,3235.0133333333333,1388.36,0.0,shared,full,t
dl212223,llm,45,0.01,active_cv,0.7766666666666666,0.0,0.09413331649349314,3228.8133333333335,1388.36,0.0,shared,full,t
dl212223,llm,45,0.01,weighted_cvl,0.9,0.0,0.04631335880148065,3228.7033333333334,1388.36,0.0,shared,full,t
dl212223,llm,45,0.02,uniform,0.3433333333333333,0.0,0.27736004955889704,3217.2733333333335,1388.2366666666667,0.0,shared,full,t
dl212223,llm,45,0.02,weighted,0.8966666666666666,0.0,0.05163196360017351,3216.9966666666664,1388.2366666666667,0.0,shared,full,t
dl212223,llm,45,0.02,active_judge,0.7833333333333333,0.0,0.10910881236922108,3212.7233333333334,1388.2366666666667,0.0,shared,full,t
dl212223,llm,45,0.02,strat_pilot,0.89,0.0,0.052452460738960545,3219.05,1388.2366666666667,0.0,shared,full,t
dl212223,llm,45,0.02,weighted_cv,0.8866666666666667,0.0,0.05170658505463687,3216.61,1388.2366666666667,0.0,shared,full,t
dl212223,llm,45,0.02,active_cv,0.8333333333333334,0.0,0.09135599274528933,3216.4266666666667,1388.2366666666667,0.0,shared,full,t
dl212223,llm,45,0.02,weighted_cvl,0.8966666666666666,0.0,0.04563800286389309,3216.9333333333334,1388.2366666666667,0.0,shared,full,t
