collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,sb2_pilot,slack_true,n_queries,n_train,b,n_sampled,slack_xfit,slack_c0,sb2_c0,slack_c1,sb2_c1,v_pilot_c0,v_pilot_c1,v_pilot_ref_c0,v_pilot_ref_c1
trec-covid,llm,10,0.01,uniform,0,2102,1645,0,0,0.0,0.9629970637344716,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,17,28,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.9604371501019289,0.965556977367014,0.2853128306560305,0.28597074707270426
trec-covid,llm,10,0.01,uniform_nz,0,2112,1645,0,0,0.0,0.5397851598742885,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,17,28,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.5387925488460363,0.5407777709025411,0.2853128306560305,0.28597074707270426
trec-covid,llm,10,0.01,weighted,0,2114,1645,1,0,0.0,0.28564178886436736,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,17,28,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.2853128306560305,0.28597074707270426,0.2853128306560305,0.28597074707270426
trec-covid,llm,10,0.01,active_judge,0,2097,1645,1,0,0.0,1.3012197433839514,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,17,28,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,1.2960735600487991,1.3063659267191032,0.2853128306560305,0.28597074707270426
trec-covid,llm,10,0.01,strat_pilot,0,2123,1645,0,0,0.0,0.28601962351070725,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,17,28,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.2857646839468127,0.2862745630746018,0.2853128306560305,0.28597074707270426
trec-covid,llm,10,0.01,weighted_cv,0,2122,1645,1,0,0.0,0.08175047631467935,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,17,28,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.08213975470836872,0.08136119792098997,0.2853128306560305,0.28597074707270426
trec-covid,llm,10,0.01,active_cv,0,2094,1645,1,0,0.0,0.3524000982123504,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,17,28,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.35536108408945555,0.3494391123352454,0.2853128306560305,0.28597074707270426
trec-covid,llm,10,0.01,weighted_cvl,0,2112,1645,1,0,0.0,0.12670990009655822,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,17,28,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.12469906109979471,0.12872073909332174,0.2853128306560305,0.28597074707270426
trec-covid,llm,10,0.01,uniform,1,2178,1708,0,0,0.0,1.4774380165015089,0.3444343503660846,0.0928227050311286,0.010638578543246176,0.01,50,20,17,28,0.09282270503112862,0.0928227050311286,0.010638578543246176,0.09851407559458421,0.010171408293919567,1.4676851482215907,1.4871908847814268,0.340225362637931,0.3486433380942381
trec-covid,llm,10,0.01,uniform_nz,1,2184,1708,0,0,0.0,0.8161277455511101,0.3444343503660846,0.0928227050311286,0.010638578543246176,0.01,50,20,17,28,0.09282270503112862,0.0928227050311286,0.010638578543246176,0.09851407559458421,0.010171408293919567,0.8109429493223554,0.8213125417798649,0.340225362637931,0.3486433380942381
trec-covid,llm,10,0.01,weighted,1,2175,1708,1,0,0.0,0.3444343503660846,0.3444343503660846,0.0928227050311286,0.010638578543246176,0.01,50,20,17,28,0.09282270503112862,0.0928227050311286,0.010638578543246176,0.09851407559458421,0.010171408293919567,0.340225362637931,0.3486433380942381,0.340225362637931,0.3486433380942381
