collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,sb2_pilot,slack_true,n_queries,n_train,b,n_sampled,slack_xfit,slack_c0,sb2_c0,slack_c1,sb2_c1,v_pilot_c0,v_pilot_c1,v_pilot_ref_c0,v_pilot_ref_c1
webis-touche2020,llm,8,0.01,uniform,0,988,748,1,0,0.0,0.1690084157623271,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,9,27,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.09386218491975437,0.24415464660489983,0.06685058125115562,0.07844309216159454
webis-touche2020,llm,8,0.01,uniform_nz,0,980,748,1,0,0.0,0.11360962419173481,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,9,27,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.07069877069430117,0.15652047768916846,0.06685058125115562,0.07844309216159454
webis-touche2020,llm,8,0.01,weighted,0,1004,748,1,0,0.0,0.07264683670637508,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,9,27,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.06685058125115562,0.07844309216159454,0.06685058125115562,0.07844309216159454
webis-touche2020,llm,8,0.01,active_judge,0,992,748,1,0,0.0,0.37011680064972696,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,9,27,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.32717695397446306,0.41305664732499087,0.06685058125115562,0.07844309216159454
webis-touche2020,llm,8,0.01,strat_pilot,0,970,748,1,0,0.0,0.07340934952437157,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,9,27,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.06661807249700663,0.08020062655173651,0.06685058125115562,0.07844309216159454
webis-touche2020,llm,8,0.01,weighted_cv,0,987,748,1,0,0.0,0.028161338361748434,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,9,27,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.032178605375249504,0.02414407134824736,0.06685058125115562,0.07844309216159454
webis-touche2020,llm,8,0.01,active_cv,0,985,748,1,0,0.0,0.10768793640765348,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,9,27,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.136379904643881,0.07899596817142596,0.06685058125115562,0.07844309216159454
webis-touche2020,llm,8,0.01,weighted_cvl,0,991,748,1,0,0.0,0.03277377923434801,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,9,27,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.030217206403903924,0.035330352064792105,0.06685058125115562,0.07844309216159454
webis-touche2020,llm,8,0.01,uniform,1,966,753,0,0,0.0,0.1576239992212554,0.05259769075711995,0.06261593462300152,0.008207110973581075,0.01,49,20,8,27,0.06261593462300152,0.06261593462300152,0.008207110973581075,0.10015806068162357,0.03296985733748651,0.047367602809275086,0.2678803956332357,0.02167482019768509,0.0835205613165548
webis-touche2020,llm,8,0.01,uniform_nz,1,982,753,1,0,0.0,0.0864855858562361,0.05259769075711995,0.06261593462300152,0.008207110973581075,0.01,49,20,8,27,0.06261593462300152,0.06261593462300152,0.008207110973581075,0.10015806068162357,0.03296985733748651,0.03334689033585221,0.13962428137662003,0.02167482019768509,0.0835205613165548
webis-touche2020,llm,8,0.01,weighted,1,962,753,1,0,0.0,0.05259769075711995,0.05259769075711995,0.06261593462300152,0.008207110973581075,0.01,49,20,8,27,0.06261593462300152,0.06261593462300152,0.008207110973581075,0.10015806068162357,0.03296985733748651,0.02167482019768509,0.0835205613165548,0.02167482019768509,0.0835205613165548
webis-touche2020,llm,8,0.01,active_judge,1,968,753,0,0,0.0,0.2528171186725056,0.05259769075711995,0.06261593462300152,0.008207110973581075,0.01,49,20,8,27,0.06261593462300152,0.06261593462300152,0.008207110973581075,0.10015806068162357,0.03296985733748651,0.08997464374148242,0.4156595936035289,0.02167482019768509,0.0835205613165548
webis-touche2020,llm,8,0.01,strat_pilot,1,975,753,1,0,0.0,0.05373831653464278,0.05259769075711995,0.06261593462300152,0.008207110973581075,0.01,49,20,8,27,0.06261593462300152,0.06261593462300152,0.008207110973581075,0.10015806068162357,0.03296985733748651,0.021321156087612814,0.08615547698167278,0.02167482019768509,0.0835205613165548
webis-touche2020,llm,8,0.01,weighted_cv,1,967,753,1,0,0.0,0.01803905921769198,0.05259769075711995,0.06261593462300152,0.008207110973581075,0.01,49,20,8,27,0.06261593462300152,0.06261593462300152,0.008207110973581075,0.10015806068162357,0.03296985733748651,0.01228375444534631,0.023794363990037655,0.02167482019768509,0.0835205613165548
webis-touche2020,llm,8,0.01,active_cv,1,965,753,1,0,0.0,0.051922414270153386,0.05259769075711995,0.06261593462300152,0.008207110973581075,0.01,49,20,8,27,0.06261593462300152,0.06261593462300152,0.008207110973581075,0.10015806068162357,0.03296985733748651,0.028613641547793695,0.07523118699251306,0.02167482019768509,0.0835205613165548
webis-touche2020,llm,8,0.01,weighted_cvl,1,972,753,1,0,0.0,0.017417850895409048,0.05259769075711995,0.06261593462300152,0.008207110973581075,0.01,49,20,8,27,0.06261593462300152,0.06261593462300152,0.008207110973581075,0.10015806068162357,0.03296985733748651,0.010802724373086967,0.024032977417731125,0.02167482019768509,0.0835205613165548
webis-touche2020,llm,8,0.01,uniform,2,979,771,1,0,0.0,0.09058939014862401,0.05166452013292776,0.06145378418899418,0.005900288445946154,0.01,49,20,8,27,0.06145378418899418,0.06145378418899418,0.005900288445946154,0.15789186070124375,0.03221808102127227,0.04889004285540455,0.13228873744184347,0.020694862209175477,0.08263417805668005
webis-touche2020,llm,8,0.01,uniform_nz,2,1000,771,1,0,0.0,0.07215834775617899,0.05166452013292776,0.06145378418899418,0.005900288445946154,0.01,49,20,8,27,0.06145378418899418,0.06145378418899418,0.005900288445946154,0.15789186070124375,0.03221808102127227,0.035620925594150574,0.10869576991820742,0.020694862209175477,0.08263417805668005
webis-touche2020,llm,8,0.01,weighted,2,985,771,1,0,0.0,0.05166452013292776,0.05166452013292776,0.06145378418899418,0.005900288445946154,0.01,49,20,8,27,0.06145378418899418,0.06145378418899418,0.005900288445946154,0.15789186070124375,0.03221808102127227,0.020694862209175477,0.08263417805668005,0.020694862209175477,0.08263417805668005
webis-touche2020,llm,8,0.01,active_judge,2,972,771,1,0,0.0,0.2349024482085617,0.05166452013292776,0.06145378418899418,0.005900288445946154,0.01,49,20,8,27,0.06145378418899418,0.06145378418899418,0.005900288445946154,0.15789186070124375,0.03221808102127227,0.09472808603803459,0.37507681037908885,0.020694862209175477,0.08263417805668005
webis-touche2020,llm,8,0.01,strat_pilot,2,973,771,1,0,0.0,0.052406139086907375,0.05166452013292776,0.06145378418899418,0.005900288445946154,0.01,49,20,8,27,0.06145378418899418,0.06145378418899418,0.005900288445946154,0.15789186070124375,0.03221808102127227,0.02032305951667285,0.0844892186571419,0.020694862209175477,0.08263417805668005
webis-touche2020,llm,8,0.01,weighted_cv,2,995,771,1,0,0.0,0.019201375042449034,0.05166452013292776,0.06145378418899418,0.005900288445946154,0.01,49,20,8,27,0.06145378418899418,0.06145378418899418,0.005900288445946154,0.15789186070124375,0.03221808102127227,0.010424504632334266,0.027978245452563798,0.020694862209175477,0.08263417805668005
webis-touche2020,llm,8,0.01,active_cv,2,991,771,1,0,0.0,0.05277115285790625,0.05166452013292776,0.06145378418899418,0.005900288445946154,0.01,49,20,8,27,0.06145378418899418,0.06145378418899418,0.005900288445946154,0.15789186070124375,0.03221808102127227,0.02384267161801546,0.08169963409779703,0.020694862209175477,0.08263417805668005
webis-touche2020,llm,8,0.01,weighted_cvl,2,996,771,1,0,0.0,0.019101155183144668,0.05166452013292776,0.06145378418899418,0.005900288445946154,0.01,49,20,8,27,0.06145378418899418,0.06145378418899418,0.005900288445946154,0.15789186070124375,0.03221808102127227,0.011689076314889692,0.02651323405139965,0.020694862209175477,0.08263417805668005
webis-touche2020,llm,8,0.01,uniform,3,975,754,1,0,0.0,0.14720180429941782,0.048376230535334575,0.06461883677324855,0.007366194982774365,0.01,49,20,8,27,0.06461883677324852,0.06461883677324855,0.007366194982774365,0.13518934932947357,0.024467350744673693,0.04411919202948205,0.2502844165693535,0.018035015156617814,0.07871744591405132
webis-touche2020,llm,8,0.01,uniform_nz,3,949,754,1,0,0.0,0.07121117366213163,0.048376230535334575,0.06461883677324855,0.007366194982774365,0.01,49,20,8,27,0.06461883677324852,0.06461883677324855,0.007366194982774365,0.13518934932947357,0.024467350744673693,0.025597603588709224,0.11682474373555404,0.018035015156617814,0.07871744591405132
webis-touche2020,llm,8,0.01,weighted,3,959,754,1,0,0.0,0.048376230535334575,0.048376230535334575,0.06461883677324855,0.007366194982774365,0.01,49,20,8,27,0.06461883677324852,0.06461883677324855,0.007366194982774365,0.13518934932947357,0.024467350744673693,0.018035015156617814,0.07871744591405132,0.018035015156617814,0.07871744591405132
webis-touche2020,llm,8,0.01,active_judge,3,979,754,1,0,0.0,0.23953453610794254,0.048376230535334575,0.06461883677324855,0.007366194982774365,0.01,49,20,8,27,0.06461883677324852,0.06461883677324855,0.007366194982774365,0.13518934932947357,0.024467350744673693,0.08375786150134046,0.39531121071454467,0.018035015156617814,0.07871744591405132
webis-touche2020,llm,8,0.01,strat_pilot,3,955,754,1,0,0.0,0.04913609215336986,0.048376230535334575,0.06461883677324855,0.007366194982774365,0.01,49,20,8,27,0.06461883677324852,0.06461883677324855,0.007366194982774365,0.13518934932947357,0.024467350744673693,0.017797072021391414,0.08047511228534832,0.018035015156617814,0.07871744591405132
webis-touche2020,llm,8,0.01,weighted_cv,3,953,754,1,0,0.0,0.017893845997381447,0.048376230535334575,0.06461883677324855,0.007366194982774365,0.01,49,20,8,27,0.06461883677324852,0.06461883677324855,0.007366194982774365,0.13518934932947357,0.024467350744673693,0.008117989765345645,0.027669702229417246,0.018035015156617814,0.07871744591405132
webis-touche2020,llm,8,0.01,active_cv,3,969,754,1,0,0.0,0.062300560851806595,0.048376230535334575,0.06461883677324855,0.007366194982774365,0.01,49,20,8,27,0.06461883677324852,0.06461883677324855,0.007366194982774365,0.13518934932947357,0.024467350744673693,0.027193903485848554,0.09740721821776466,0.018035015156617814,0.07871744591405132
webis-touche2020,llm,8,0.01,weighted_cvl,3,987,754,1,0,0.0,0.017297146016072386,0.048376230535334575,0.06461883677324855,0.007366194982774365,0.01,49,20,8,27,0.06461883677324852,0.06461883677324855,0.007366194982774365,0.13518934932947357,0.024467350744673693,0.007840794429976029,0.02675349760216874,0.018035015156617814,0.07871744591405132
webis-touche2020,llm,8,0.01,uniform,4,969,764,0,0,0.0,0.06737190220727873,0.03873150771251087,0.0399170464611641,0.006301884343750047,0.01,49,20,8,27,0.03991704646116412,0.0399170464611641,0.006301884343750047,0.13032542818850149,0.01427776887254003,0.05163286515194935,0.08311093926260812,0.02077012485993316,0.05669289056508856
