collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,sb2_pilot,n_queries,n_train,cand,slack_xfit,slack_c0,sb2_c0,slack_c1,sb2_c1,v_pilot_c0,v_pilot_c1,v_pilot_ref_c0,v_pilot_ref_c1
dbpedia-entity,llm,30,0.01,uniform,0,1043,1.3911595738847624,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,1.3060133540982322,1.4763057936712927,0.08550238193128198,0.08405615006552956
dbpedia-entity,llm,30,0.01,uniform_nz,0,1043,0.25324627090942015,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.24457383885864487,0.2619187029601953,0.08550238193128198,0.08405615006552956
dbpedia-entity,llm,30,0.01,weighted,0,1043,0.08477926599840577,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.08550238193128198,0.08405615006552956,0.08550238193128198,0.08405615006552956
dbpedia-entity,llm,30,0.01,active_judge,0,1043,0.2867749653206627,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.2791563510903118,0.2943935795510137,0.08550238193128198,0.08405615006552956
dbpedia-entity,llm,30,0.01,strat_pilot,0,1043,0.08494387842247206,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.0854696897717235,0.08441806707322067,0.08550238193128198,0.08405615006552956
dbpedia-entity,llm,30,0.01,weighted_cv,0,1043,0.05485012311353016,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.04394800632497372,0.06575223990208658,0.08550238193128198,0.08405615006552956
dbpedia-entity,llm,30,0.01,active_cv,0,1043,0.18273887104952366,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.1502699246576309,0.21520781744141643,0.08550238193128198,0.08405615006552956
dbpedia-entity,llm,30,0.01,weighted_cvl,0,1043,0.051203353197810254,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.04394800632497372,0.05845870007064681,0.08550238193128198,0.08405615006552956
dbpedia-entity,llm,30,0.01,uniform,1,1041,0.1409934581615279,0.07501845719576394,0.06946738887227763,0.012580476164128536,399,20,2,0.06946738887227763,0.09259179788788172,0.006992672279064429,0.06946738887227763,0.012580476164128536,0.13246574456036334,0.14952117176269245,0.08409700553562595,0.06593990885590192
dbpedia-entity,llm,30,0.01,uniform_nz,1,1041,0.08653975151099227,0.07501845719576394,0.06946738887227763,0.012580476164128536,399,20,2,0.06946738887227763,0.09259179788788172,0.006992672279064429,0.06946738887227763,0.012580476164128536,0.08301826134705861,0.09006124167492593,0.08409700553562595,0.06593990885590192
dbpedia-entity,llm,30,0.01,weighted,1,1041,0.07501845719576394,0.07501845719576394,0.06946738887227763,0.012580476164128536,399,20,2,0.06946738887227763,0.09259179788788172,0.006992672279064429,0.06946738887227763,0.012580476164128536,0.08409700553562595,0.06593990885590192,0.08409700553562595,0.06593990885590192
dbpedia-entity,llm,30,0.01,active_judge,1,1041,0.28810767930252634,0.07501845719576394,0.06946738887227763,0.012580476164128536,399,20,2,0.06946738887227763,0.09259179788788172,0.006992672279064429,0.06946738887227763,0.012580476164128536,0.33529824375985273,0.24091711484519998,0.08409700553562595,0.06593990885590192
dbpedia-entity,llm,30,0.01,strat_pilot,1,1041,0.07489075380029826,0.07501845719576394,0.06946738887227763,0.012580476164128536,399,20,2,0.06946738887227763,0.09259179788788172,0.006992672279064429,0.06946738887227763,0.012580476164128536,0.08462883495834993,0.06515267264224658,0.08409700553562595,0.06593990885590192
dbpedia-entity,llm,30,0.01,weighted_cv,1,1041,0.058559334722124226,0.07501845719576394,0.06946738887227763,0.012580476164128536,399,20,2,0.06946738887227763,0.09259179788788172,0.006992672279064429,0.06946738887227763,0.012580476164128536,0.06429161804765711,0.05282705139659134,0.08409700553562595,0.06593990885590192
dbpedia-entity,llm,30,0.01,active_cv,1,1041,0.20422318344387894,0.07501845719576394,0.06946738887227763,0.012580476164128536,399,20,2,0.06946738887227763,0.09259179788788172,0.006992672279064429,0.06946738887227763,0.012580476164128536,0.24158650326867673,0.16685986361908114,0.08409700553562595,0.06593990885590192
dbpedia-entity,llm,30,0.01,weighted_cvl,1,1041,0.0643288943890214,0.07501845719576394,0.06946738887227763,0.012580476164128536,399,20,2,0.06946738887227763,0.09259179788788172,0.006992672279064429,0.06946738887227763,0.012580476164128536,0.08409700553562595,0.044560783242416815,0.08409700553562595,0.06593990885590192
dbpedia-entity,llm,30,0.01,uniform,2,950,0.11786096455717718,0.03866853984245483,0.03392976465039698,0.006178587332129305,399,20,2,-0.013116938646306309,0.03392976465039698,0.006178587332129305,0.036787419903321364,0.016288888134383873,0.07395793531591827,0.16176399379843612,0.027492557046877097,0.04984452263803255
dbpedia-entity,llm,30,0.01,uniform_nz,2,950,0.044801601132229286,0.03866853984245483,0.03392976465039698,0.006178587332129305,399,20,2,-0.013116938646306309,0.03392976465039698,0.006178587332129305,0.036787419903321364,0.016288888134383873,0.027788895283019772,0.06181430698143879,0.027492557046877097,0.04984452263803255
dbpedia-entity,llm,30,0.01,weighted,2,950,0.03866853984245483,0.03866853984245483,0.03392976465039698,0.006178587332129305,399,20,2,-0.013116938646306309,0.03392976465039698,0.006178587332129305,0.036787419903321364,0.016288888134383873,0.027492557046877097,0.04984452263803255,0.027492557046877097,0.04984452263803255
dbpedia-entity,llm,30,0.01,active_judge,2,950,0.12165042807872968,0.03866853984245483,0.03392976465039698,0.006178587332129305,399,20,2,-0.013116938646306309,0.03392976465039698,0.006178587332129305,0.036787419903321364,0.016288888134383873,0.09229546101941856,0.15100539513804082,0.027492557046877097,0.04984452263803255
dbpedia-entity,llm,30,0.01,strat_pilot,2,950,0.03847706419076584,0.03866853984245483,0.03392976465039698,0.006178587332129305,399,20,2,-0.013116938646306309,0.03392976465039698,0.006178587332129305,0.036787419903321364,0.016288888134383873,0.027309190286286793,0.049644938095244895,0.027492557046877097,0.04984452263803255
dbpedia-entity,llm,30,0.01,weighted_cv,2,950,0.02983821648369549,0.03866853984245483,0.03392976465039698,0.006178587332129305,399,20,2,-0.013116938646306309,0.03392976465039698,0.006178587332129305,0.036787419903321364,0.016288888134383873,0.019124997976677903,0.04055143499071308,0.027492557046877097,0.04984452263803255
dbpedia-entity,llm,30,0.01,active_cv,2,950,0.07370627184807488,0.03866853984245483,0.03392976465039698,0.006178587332129305,399,20,2,-0.013116938646306309,0.03392976465039698,0.006178587332129305,0.036787419903321364,0.016288888134383873,0.049103014299444595,0.09830952939670516,0.027492557046877097,0.04984452263803255
dbpedia-entity,llm,30,0.01,weighted_cvl,2,950,0.02489040516333107,0.03866853984245483,0.03392976465039698,0.006178587332129305,399,20,2,-0.013116938646306309,0.03392976465039698,0.006178587332129305,0.036787419903321364,0.016288888134383873,0.016861576719706596,0.03291923360695554,0.027492557046877097,0.04984452263803255
dbpedia-entity,llm,30,0.01,uniform,3,1066,0.1406529974511839,0.07486216867643102,0.0056786426265852995,0.014339818747074287,399,20,1,-0.011467228546750172,0.018126630271592233,0.004502098409437616,0.0056786426265852995,0.014339818747074287,0.15871949406324898,0.12258650083911875,0.0896930690455415,0.06003126830732053
dbpedia-entity,llm,30,0.01,uniform_nz,3,1066,0.08448367239859662,0.07486216867643102,0.0056786426265852995,0.014339818747074287,399,20,1,-0.011467228546750172,0.018126630271592233,0.004502098409437616,0.0056786426265852995,0.014339818747074287,0.0932636066388568,0.07570373815833645,0.0896930690455415,0.06003126830732053
dbpedia-entity,llm,30,0.01,weighted,3,1066,0.07486216867643102,0.07486216867643102,0.0056786426265852995,0.014339818747074287,399,20,1,-0.011467228546750172,0.018126630271592233,0.004502098409437616,0.0056786426265852995,0.014339818747074287,0.0896930690455415,0.06003126830732053,0.0896930690455415,0.06003126830732053
dbpedia-entity,llm,30,0.01,active_judge,3,1066,0.22254922840400462,0.07486216867643102,0.0056786426265852995,0.014339818747074287,399,20,1,-0.011467228546750172,0.018126630271592233,0.004502098409437616,0.0056786426265852995,0.014339818747074287,0.27835718920654084,0.16674126760146837,0.0896930690455415,0.06003126830732053
dbpedia-entity,llm,30,0.01,strat_pilot,3,1066,0.07484944718180704,0.07486216867643102,0.0056786426265852995,0.014339818747074287,399,20,1,-0.011467228546750172,0.018126630271592233,0.004502098409437616,0.0056786426265852995,0.014339818747074287,0.08960621734627158,0.0600926770173425,0.0896930690455415,0.06003126830732053
dbpedia-entity,llm,30,0.01,weighted_cv,3,1066,0.04116822996321048,0.07486216867643102,0.0056786426265852995,0.014339818747074287,399,20,1,-0.011467228546750172,0.018126630271592233,0.004502098409437616,0.0056786426265852995,0.014339818747074287,0.05227213528879421,0.03006432463762676,0.0896930690455415,0.06003126830732053
dbpedia-entity,llm,30,0.01,active_cv,3,1066,0.1258994173686744,0.07486216867643102,0.0056786426265852995,0.014339818747074287,399,20,1,-0.011467228546750172,0.018126630271592233,0.004502098409437616,0.0056786426265852995,0.014339818747074287,0.16771488389373124,0.08408395084361758,0.0896930690455415,0.06003126830732053
