collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
dbpedia-entity,llm,60,0.01,uniform,0,2169,1043,0,0,0.0,1.3911595738847624,0.08477926599840577,0.18671989478060527,0.01,399,4,297
dbpedia-entity,llm,60,0.01,uniform_nz,0,2200,1043,1,0,0.0,0.25324627090942015,0.08477926599840577,0.18671989478060527,0.01,399,4,297
dbpedia-entity,llm,60,0.01,weighted,0,2245,1043,1,0,0.0,0.08477926599840577,0.08477926599840577,0.18671989478060527,0.01,399,4,297
dbpedia-entity,llm,60,0.01,active_judge,0,2231,1043,1,0,0.0,0.2867749653206627,0.08477926599840577,0.18671989478060527,0.01,399,4,297
dbpedia-entity,llm,60,0.01,strat_pilot,0,2272,1043,1,0,0.0,0.08494387842247206,0.08477926599840577,0.18671989478060527,0.01,399,4,297
dbpedia-entity,llm,60,0.01,weighted_cv,0,2182,1043,1,0,0.0,0.05485012311353016,0.08477926599840577,0.18671989478060527,0.01,399,4,297
dbpedia-entity,llm,60,0.01,active_cv,0,2217,1043,1,0,0.0,0.18273887104952366,0.08477926599840577,0.18671989478060527,0.01,399,4,297
dbpedia-entity,llm,60,0.01,weighted_cvl,0,2174,1043,1,0,0.0,0.051203353197810254,0.08477926599840577,0.18671989478060527,0.01,399,4,297
dbpedia-entity,llm,60,0.01,uniform,1,2870,1029,0,0,0.0,0.1386976146539684,0.06254563484234235,0.01732792224974888,0.01,399,5,375
dbpedia-entity,llm,60,0.01,uniform_nz,1,2968,1029,0,0,0.0,0.06809459664561904,0.06254563484234235,0.01732792224974888,0.01,399,5,375
dbpedia-entity,llm,60,0.01,weighted,1,2929,1029,0,0,0.0,0.06254563484234235,0.06254563484234235,0.01732792224974888,0.01,399,5,375
dbpedia-entity,llm,60,0.01,active_judge,1,2890,1029,0,0,0.0,0.1882362756260787,0.06254563484234235,0.01732792224974888,0.01,399,5,375
dbpedia-entity,llm,60,0.01,strat_pilot,1,3000,1029,0,0,0.0,0.06261820025552392,0.06254563484234235,0.01732792224974888,0.01,399,5,375
dbpedia-entity,llm,60,0.01,weighted_cv,1,2889,1029,0,0,0.0,0.04949293137926343,0.06254563484234235,0.01732792224974888,0.01,399,5,375
dbpedia-entity,llm,60,0.01,active_cv,1,2911,1029,0,0,0.0,0.11703381598096434,0.06254563484234235,0.01732792224974888,0.01,399,5,375
dbpedia-entity,llm,60,0.01,weighted_cvl,1,2875,1029,1,0,0.0,0.0392630469158344,0.06254563484234235,0.01732792224974888,0.01,399,5,375
dbpedia-entity,llm,60,0.01,uniform,2,2990,1077,0,0,0.007583536801330948,0.3568372772879988,0.0920800345763399,0.015539791187758617,0.0024164631986690523,399,5,375
dbpedia-entity,llm,60,0.01,uniform_nz,2,2881,1077,0,0,0.007583536801330948,0.16907469595068703,0.0920800345763399,0.015539791187758617,0.0024164631986690523,399,5,375
dbpedia-entity,llm,60,0.01,weighted,2,3015,1077,0,0,0.007583536801330948,0.0920800345763399,0.0920800345763399,0.015539791187758617,0.0024164631986690523,399,5,375
dbpedia-entity,llm,60,0.01,active_judge,2,2908,1077,0,0,0.007583536801330948,0.28314234802417104,0.0920800345763399,0.015539791187758617,0.0024164631986690523,399,5,375
dbpedia-entity,llm,60,0.01,strat_pilot,2,2974,1077,0,0,0.007583536801330948,0.09229575422091864,0.0920800345763399,0.015539791187758617,0.0024164631986690523,399,5,375
dbpedia-entity,llm,60,0.01,weighted_cv,2,2920,1077,0,0,0.007583536801330948,0.05600356606342908,0.0920800345763399,0.015539791187758617,0.0024164631986690523,399,5,375
dbpedia-entity,llm,60,0.01,active_cv,2,3004,1077,0,0,0.007583536801330948,0.15435781721525438,0.0920800345763399,0.015539791187758617,0.0024164631986690523,399,5,375
dbpedia-entity,llm,60,0.01,weighted_cvl,2,2917,1077,0,0,0.007583536801330948,0.05229678661795547,0.0920800345763399,0.015539791187758617,0.0024164631986690523,399,5,375
dbpedia-entity,llm,60,0.01,uniform,3,3047,1125,0,0,0.0,0.20991619540934972,0.07953671523210994,0.012220289528726069,0.01,399,5,375
dbpedia-entity,llm,60,0.01,uniform_nz,3,3059,1125,0,0,0.0,0.11169241768152811,0.07953671523210994,0.012220289528726069,0.01,399,5,375
dbpedia-entity,llm,60,0.01,weighted,3,3033,1125,0,0,0.0,0.07953671523210994,0.07953671523210994,0.012220289528726069,0.01,399,5,375
dbpedia-entity,llm,60,0.01,active_judge,3,2988,1125,0,0,0.0,0.29659016314373465,0.07953671523210994,0.012220289528726069,0.01,399,5,375
dbpedia-entity,llm,60,0.01,strat_pilot,3,2922,1125,0,0,0.0,0.0796159075459871,0.07953671523210994,0.012220289528726069,0.01,399,5,375
dbpedia-entity,llm,60,0.01,weighted_cv,3,2947,1125,1,0,0.0,0.05300354542732817,0.07953671523210994,0.012220289528726069,0.01,399,5,375
dbpedia-entity,llm,60,0.01,active_cv,3,2986,1125,0,0,0.0,0.19440836116465676,0.07953671523210994,0.012220289528726069,0.01,399,5,375
dbpedia-entity,llm,60,0.01,weighted_cvl,3,3024,1125,0,0,0.0,0.04905462470103947,0.07953671523210994,0.012220289528726069,0.01,399,5,375
dbpedia-entity,llm,60,0.01,uniform,4,2870,1019,0,0,0.0033854503881452502,0.18022154042142974,0.08410149733369228,0.025425035695132915,0.00661454961185475,399,5,375
dbpedia-entity,llm,60,0.01,uniform_nz,4,2860,1019,0,0,0.0033854503881452502,0.1121375057254292,0.08410149733369228,0.025425035695132915,0.00661454961185475,399,5,375
dbpedia-entity,llm,60,0.01,weighted,4,2910,1019,0,0,0.0033854503881452502,0.08410149733369228,0.08410149733369228,0.025425035695132915,0.00661454961185475,399,5,375
dbpedia-entity,llm,60,0.01,active_judge,4,2906,1019,0,0,0.0033854503881452502,0.37762261149286447,0.08410149733369228,0.025425035695132915,0.00661454961185475,399,5,375
dbpedia-entity,llm,60,0.01,strat_pilot,4,2903,1019,0,0,0.0033854503881452502,0.08396530652769588,0.08410149733369228,0.025425035695132915,0.00661454961185475,399,5,375
dbpedia-entity,llm,60,0.01,weighted_cv,4,2910,1019,0,0,0.0033854503881452502,0.04800425800716317,0.08410149733369228,0.025425035695132915,0.00661454961185475,399,5,375
dbpedia-entity,llm,60,0.01,active_cv,4,2932,1019,0,0,0.0033854503881452502,0.1939052082381187,0.08410149733369228,0.025425035695132915,0.00661454961185475,399,5,375
dbpedia-entity,llm,60,0.01,weighted_cvl,4,2960,1019,0,0,0.0033854503881452502,0.0471652391607298,0.08410149733369228,0.025425035695132915,0.00661454961185475,399,5,375
dbpedia-entity,llm,60,0.01,uniform,5,2981,1008,1,0,0.0,0.11963664531364308,0.06849030095725758,0.021807793303536313,0.01,399,5,375
dbpedia-entity,llm,60,0.01,uniform_nz,5,2894,1008,1,0,0.0,0.0765369617092263,0.06849030095725758,0.021807793303536313,0.01,399,5,375
dbpedia-entity,llm,60,0.01,weighted,5,2881,1008,1,0,0.0,0.06849030095725758,0.06849030095725758,0.021807793303536313,0.01,399,5,375
dbpedia-entity,llm,60,0.01,active_judge,5,2877,1008,1,0,0.0,0.23945995047563517,0.06849030095725758,0.021807793303536313,0.01,399,5,375
dbpedia-entity,llm,60,0.01,strat_pilot,5,2855,1008,0,0,0.0,0.06852234141107469,0.06849030095725758,0.021807793303536313,0.01,399,5,375
dbpedia-entity,llm,60,0.01,weighted_cv,5,2840,1008,1,0,0.0,0.03974804563886684,0.06849030095725758,0.021807793303536313,0.01,399,5,375
dbpedia-entity,llm,60,0.01,active_cv,5,2898,1008,0,0,0.0,0.11889799569304209,0.06849030095725758,0.021807793303536313,0.01,399,5,375
dbpedia-entity,llm,60,0.01,weighted_cvl,5,2908,1008,0,0,0.0,0.04507996411963951,0.06849030095725758,0.021807793303536313,0.01,399,5,375
dbpedia-entity,llm,60,0.01,uniform,6,2931,1111,0,0,0.0065317583684395,0.3141393653046829,0.09693111693137044,0.010691181173412967,0.0034682416315605005,399,5,375
