collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
dbpedia-entity,llm,90,0.01,uniform,0.19333333333333333,0.0,0.1488640732529774,3673.0733333333333,1027.2033333333334,0.0,shared,full,t,0.13666666666666666,0.18
dbpedia-entity,llm,90,0.01,uniform_nz,0.35333333333333333,0.0,0.06875093454529055,3674.35,1027.2033333333334,0.0,shared,full,t,0.26,0.29
dbpedia-entity,llm,90,0.01,weighted,0.5166666666666667,0.0,0.046283953203439004,3668.4733333333334,1027.2033333333334,0.0,shared,full,t,0.3466666666666667,0.4066666666666667
dbpedia-entity,llm,90,0.01,active_judge,0.28,0.0,0.11320152317251274,3671.2933333333335,1027.2033333333334,0.0,shared,full,t,0.21,0.24
dbpedia-entity,llm,90,0.01,strat_pilot,0.4866666666666667,0.0,0.04626199748823857,3669.766666666667,1027.2033333333334,0.0,shared,full,t,0.3333333333333333,0.39
dbpedia-entity,llm,90,0.01,weighted_cv,0.5433333333333333,0.0,0.03625608880187537,3671.1833333333334,1027.2033333333334,0.0,shared,full,t,0.37,0.41
dbpedia-entity,llm,90,0.01,active_cv,0.38666666666666666,0.0,0.07124055870155871,3669.923333333333,1027.2033333333334,0.0,shared,full,t,0.25,0.28
dbpedia-entity,llm,90,0.01,weighted_cvl,0.5833333333333334,0.0,0.0353312125547203,3667.653333333333,1027.2033333333334,0.0,shared,full,t,0.41,0.45666666666666667
dbpedia-entity,llm,90,0.02,uniform,0.35,0.0,0.1282177039385845,3635.1666666666665,1025.6266666666668,0.0,shared,full,t,0.28,0.33
dbpedia-entity,llm,90,0.02,uniform_nz,0.55,0.0,0.0689588649844796,3638.3566666666666,1025.6266666666668,0.0,shared,full,t,0.4766666666666667,0.5066666666666667
dbpedia-entity,llm,90,0.02,weighted,0.7233333333333334,0.0,0.04658637137220801,3636.5633333333335,1025.6266666666668,0.0,shared,full,t,0.5766666666666667,0.62
dbpedia-entity,llm,90,0.02,active_judge,0.38333333333333336,0.0,0.11457203721401311,3633.95,1025.6266666666668,0.0,shared,full,t,0.33,0.36333333333333334
dbpedia-entity,llm,90,0.02,strat_pilot,0.7333333333333333,0.0,0.04649116462290876,3639.193333333333,1025.6266666666668,0.0,shared,full,t,0.63,0.67
dbpedia-entity,llm,90,0.02,weighted_cv,0.79,0.0,0.03596625963477573,3639.1,1025.6266666666668,0.0,shared,full,t,0.6533333333333333,0.7033333333333334
dbpedia-entity,llm,90,0.02,active_cv,0.62,0.0,0.07165710765183754,3635.7166666666667,1025.6266666666668,0.0,shared,full,t,0.5,0.5533333333333333
dbpedia-entity,llm,90,0.02,weighted_cvl,0.82,0.0,0.035047406161175874,3637.04,1025.6266666666668,0.0,shared,full,t,0.6733333333333333,0.7066666666666667
