collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
trec-covid,rr,20,0.01,uniform,0,1758,812,0,0,0.0,1.1037660774420803,0.323274083721505,0.06489721178171018,0.01,50,25,39
trec-covid,rr,20,0.01,uniform_nz,0,1769,812,1,0,0.0,0.613963461416073,0.323274083721505,0.06489721178171018,0.01,50,25,39
trec-covid,rr,20,0.01,weighted,0,1784,812,1,0,0.0,0.323274083721505,0.323274083721505,0.06489721178171018,0.01,50,25,39
trec-covid,rr,20,0.01,active_judge,0,1751,812,1,0,0.0,0.7700022291425995,0.323274083721505,0.06489721178171018,0.01,50,25,39
trec-covid,rr,20,0.01,strat_pilot,0,1771,812,1,0,0.0,0.3280062737400592,0.323274083721505,0.06489721178171018,0.01,50,25,39
trec-covid,rr,20,0.01,weighted_cv,0,1800,812,1,0,0.0,0.10833323537336918,0.323274083721505,0.06489721178171018,0.01,50,25,39
trec-covid,rr,20,0.01,active_cv,0,1780,812,1,0,0.0,0.18135594343358785,0.323274083721505,0.06489721178171018,0.01,50,25,39
trec-covid,rr,20,0.01,weighted_cvl,0,1770,812,1,0,0.0,0.323274083721505,0.323274083721505,0.06489721178171018,0.01,50,25,39
trec-covid,rr,20,0.01,uniform,1,1741,810,1,0,0.0,2.4728625846259122,0.2870176903531682,0.15216595659438345,0.01,50,25,38
trec-covid,rr,20,0.01,uniform_nz,1,1748,810,1,0,0.0,1.2317947528817907,0.2870176903531682,0.15216595659438345,0.01,50,25,38
trec-covid,rr,20,0.01,weighted,1,1743,810,1,0,0.0,0.2870176903531682,0.2870176903531682,0.15216595659438345,0.01,50,25,38
trec-covid,rr,20,0.01,active_judge,1,1767,810,1,0,0.0,0.6599592972391882,0.2870176903531682,0.15216595659438345,0.01,50,25,38
trec-covid,rr,20,0.01,strat_pilot,1,1763,810,1,0,0.0,0.38785254033374605,0.2870176903531682,0.15216595659438345,0.01,50,25,38
trec-covid,rr,20,0.01,weighted_cv,1,1742,810,1,0,0.0,0.09800237455104563,0.2870176903531682,0.15216595659438345,0.01,50,25,38
trec-covid,rr,20,0.01,active_cv,1,1769,810,1,0,0.0,0.10536860327054869,0.2870176903531682,0.15216595659438345,0.01,50,25,38
trec-covid,rr,20,0.01,weighted_cvl,1,1770,810,1,0,0.0,0.2870176903531682,0.2870176903531682,0.15216595659438345,0.01,50,25,38
trec-covid,rr,20,0.01,uniform,2,1726,805,0,0,0.0,0.6046841650787476,0.28273144212433415,0.06289487468946618,0.01,50,24,39
trec-covid,rr,20,0.01,uniform_nz,2,1733,805,1,0,0.0,0.3766081784060177,0.28273144212433415,0.06289487468946618,0.01,50,24,39
trec-covid,rr,20,0.01,weighted,2,1731,805,1,0,0.0,0.28273144212433415,0.28273144212433415,0.06289487468946618,0.01,50,24,39
trec-covid,rr,20,0.01,active_judge,2,1746,805,0,0,0.0,0.6932494224532917,0.28273144212433415,0.06289487468946618,0.01,50,24,39
trec-covid,rr,20,0.01,strat_pilot,2,1722,805,1,0,0.0,0.2827628234016999,0.28273144212433415,0.06289487468946618,0.01,50,24,39
trec-covid,rr,20,0.01,weighted_cv,2,1736,805,1,0,0.0,0.09589871454261731,0.28273144212433415,0.06289487468946618,0.01,50,24,39
trec-covid,rr,20,0.01,active_cv,2,1737,805,1,0,0.0,0.11030834948050017,0.28273144212433415,0.06289487468946618,0.01,50,24,39
trec-covid,rr,20,0.01,weighted_cvl,2,1753,805,1,0,0.0,0.13688738936839062,0.28273144212433415,0.06289487468946618,0.01,50,24,39
trec-covid,rr,20,0.01,uniform,3,1754,805,1,0,0.0,0.5850296094886991,0.28069841132624357,0.045067370919305384,0.01,50,25,39
trec-covid,rr,20,0.01,uniform_nz,3,1787,805,1,0,0.0,0.33182683591724016,0.28069841132624357,0.045067370919305384,0.01,50,25,39
trec-covid,rr,20,0.01,weighted,3,1797,805,1,0,0.0,0.28069841132624357,0.28069841132624357,0.045067370919305384,0.01,50,25,39
trec-covid,rr,20,0.01,active_judge,3,1771,805,1,0,0.0,0.6103944636106878,0.28069841132624357,0.045067370919305384,0.01,50,25,39
trec-covid,rr,20,0.01,strat_pilot,3,1756,805,1,0,0.0,0.2831038273833947,0.28069841132624357,0.045067370919305384,0.01,50,25,39
trec-covid,rr,20,0.01,weighted_cv,3,1780,805,1,0,0.0,0.06704837497238406,0.28069841132624357,0.045067370919305384,0.01,50,25,39
trec-covid,rr,20,0.01,active_cv,3,1789,805,1,0,0.0,0.10933219666121566,0.28069841132624357,0.045067370919305384,0.01,50,25,39
trec-covid,rr,20,0.01,weighted_cvl,3,1771,805,1,0,0.0,0.15697822538334583,0.28069841132624357,0.045067370919305384,0.01,50,25,39
trec-covid,rr,20,0.01,uniform,4,1820,822,0,0,0.0,0.9368033803462499,0.3353028618908861,0.05624468028194737,0.01,50,26,38
trec-covid,rr,20,0.01,uniform_nz,4,1785,822,1,0,0.0,0.514197907713454,0.3353028618908861,0.05624468028194737,0.01,50,26,38
trec-covid,rr,20,0.01,weighted,4,1800,822,1,0,0.0,0.3353028618908861,0.3353028618908861,0.05624468028194737,0.01,50,26,38
trec-covid,rr,20,0.01,active_judge,4,1818,822,1,0,0.0,0.7527715151243491,0.3353028618908861,0.05624468028194737,0.01,50,26,38
trec-covid,rr,20,0.01,strat_pilot,4,1748,822,1,0,0.0,0.3353348988981423,0.3353028618908861,0.05624468028194737,0.01,50,26,38
trec-covid,rr,20,0.01,weighted_cv,4,1803,822,1,0,0.0,0.09496763930916916,0.3353028618908861,0.05624468028194737,0.01,50,26,38
trec-covid,rr,20,0.01,active_cv,4,1827,822,1,0,0.0,0.09108582809527259,0.3353028618908861,0.05624468028194737,0.01,50,26,38
trec-covid,rr,20,0.01,weighted_cvl,4,1845,822,1,0,0.0,0.2633963836331764,0.3353028618908861,0.05624468028194737,0.01,50,26,38
trec-covid,rr,20,0.01,uniform,5,1838,846,0,0,0.0,1.0154331127902667,0.36055709530024216,0.07107374075031286,0.01,50,25,38
