collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
trec-covid,rr,5,0.01,uniform,0.006666666666666667,0.0,0.9649762469304268,1076.1,832.6133333333333,0.0,shared,full,t,0.0033333333333333335,0.01
trec-covid,rr,5,0.01,uniform_nz,0.04666666666666667,0.0,0.5247132473644363,1075.1866666666667,832.6133333333333,0.0,shared,full,t,0.03,0.05333333333333334
trec-covid,rr,5,0.01,weighted,0.29,0.0,0.1755926169268432,1074.43,832.6133333333333,0.0,shared,full,t,0.15,0.24666666666666667
trec-covid,rr,5,0.01,active_judge,0.09666666666666666,0.0,0.4008505151287273,1075.44,832.6133333333333,0.0,shared,full,t,0.07666666666666666,0.09333333333333334
trec-covid,rr,5,0.01,strat_pilot,0.2633333333333333,0.0,0.21336709313099636,1074.5533333333333,832.6133333333333,0.0,shared,full,t,0.12333333333333334,0.25666666666666665
trec-covid,rr,5,0.01,weighted_cv,0.6566666666666666,0.0,0.08030491571470769,1075.2266666666667,832.6133333333333,0.0,shared,full,t,0.4033333333333333,0.6033333333333334
trec-covid,rr,5,0.01,active_cv,0.6766666666666666,0.0,0.09215134225424099,1075.19,832.6133333333333,0.0,shared,full,t,0.36333333333333334,0.6066666666666667
trec-covid,rr,5,0.01,weighted_cvl,0.39666666666666667,0.0,0.1269845367409223,1074.63,832.6133333333333,0.0,shared,full,t,0.24666666666666667,0.36333333333333334
trec-covid,rr,5,0.02,uniform,0.02666666666666667,0.0,0.9281006310728056,1072.3933333333334,831.2933333333333,0.0,shared,full,t,0.02,0.02
trec-covid,rr,5,0.02,uniform_nz,0.07666666666666666,0.0,0.49240829650634527,1072.7233333333334,831.2933333333333,0.0,shared,full,t,0.03333333333333333,0.07666666666666666
trec-covid,rr,5,0.02,weighted,0.42,0.0,0.18096827420134834,1073.2666666666667,831.2933333333333,0.0,shared,full,t,0.24666666666666667,0.37
trec-covid,rr,5,0.02,active_judge,0.14333333333333334,0.0,0.4153233692270614,1073.73,831.2933333333333,0.0,shared,full,t,0.07333333333333333,0.14333333333333334
trec-covid,rr,5,0.02,strat_pilot,0.35,0.0,0.18661072456868388,1072.8,831.2933333333333,0.0,shared,full,t,0.20333333333333334,0.31666666666666665
trec-covid,rr,5,0.02,weighted_cv,0.7233333333333334,0.0,0.07925500638573742,1072.9033333333334,831.2933333333333,0.0,shared,full,t,0.49333333333333335,0.6833333333333333
trec-covid,rr,5,0.02,active_cv,0.7033333333333334,0.0,0.08776338716772948,1073.29,831.2933333333333,0.0,shared,full,t,0.44333333333333336,0.65
trec-covid,rr,5,0.02,weighted_cvl,0.49666666666666665,0.0,0.13197808573593095,1072.46,831.2933333333333,0.0,shared,full,t,0.2866666666666667,0.45666666666666667
