collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
webis-touche2020,rr,3,0.01,uniform,0,458,368,0,0,0.0,0.06030952935228463,0.024204487626429905,0.0319213073125107,0.01,49,4,20
webis-touche2020,rr,3,0.01,uniform_nz,0,444,368,0,0,0.0,0.031113102247506602,0.024204487626429905,0.0319213073125107,0.01,49,4,20
webis-touche2020,rr,3,0.01,weighted,0,454,368,0,0,0.0,0.024204487626429905,0.024204487626429905,0.0319213073125107,0.01,49,4,20
webis-touche2020,rr,3,0.01,active_judge,0,458,368,0,0,0.0,0.06720212091795452,0.024204487626429905,0.0319213073125107,0.01,49,4,20
webis-touche2020,rr,3,0.01,strat_pilot,0,439,368,0,0,0.0,0.024452524896106005,0.024204487626429905,0.0319213073125107,0.01,49,4,20
webis-touche2020,rr,3,0.01,weighted_cv,0,439,368,0,0,0.0,0.018230622945298102,0.024204487626429905,0.0319213073125107,0.01,49,4,20
webis-touche2020,rr,3,0.01,active_cv,0,440,368,0,0,0.0,0.022355865129252233,0.024204487626429905,0.0319213073125107,0.01,49,4,20
webis-touche2020,rr,3,0.01,weighted_cvl,0,455,368,0,0,0.0,0.01983193796148296,0.024204487626429905,0.0319213073125107,0.01,49,4,20
webis-touche2020,rr,3,0.01,uniform,1,460,379,0,0,0.0,0.0828858462261954,0.035452109561746256,0.017386486062956664,0.01,49,4,19
webis-touche2020,rr,3,0.01,uniform_nz,1,450,379,0,0,0.0,0.05726861167384524,0.035452109561746256,0.017386486062956664,0.01,49,4,19
webis-touche2020,rr,3,0.01,weighted,1,468,379,0,0,0.0,0.035452109561746256,0.035452109561746256,0.017386486062956664,0.01,49,4,19
webis-touche2020,rr,3,0.01,active_judge,1,444,379,0,0,0.0,0.10549823012590054,0.035452109561746256,0.017386486062956664,0.01,49,4,19
webis-touche2020,rr,3,0.01,strat_pilot,1,443,379,0,0,0.0,0.03625394825595286,0.035452109561746256,0.017386486062956664,0.01,49,4,19
webis-touche2020,rr,3,0.01,weighted_cv,1,463,379,0,0,0.0,0.027264626558629573,0.035452109561746256,0.017386486062956664,0.01,49,4,19
webis-touche2020,rr,3,0.01,active_cv,1,451,379,1,0,0.0,0.049275722377010264,0.035452109561746256,0.017386486062956664,0.01,49,4,19
webis-touche2020,rr,3,0.01,weighted_cvl,1,458,379,0,0,0.0,0.026507195893957346,0.035452109561746256,0.017386486062956664,0.01,49,4,19
webis-touche2020,rr,3,0.01,uniform,2,463,383,1,0,0.0,0.24653884037943047,0.07507133300091756,0.03222958800745179,0.01,49,4,20
webis-touche2020,rr,3,0.01,uniform_nz,2,462,383,0,0,0.0,0.11875885334050922,0.07507133300091756,0.03222958800745179,0.01,49,4,20
webis-touche2020,rr,3,0.01,weighted,2,454,383,0,0,0.0,0.07507133300091756,0.07507133300091756,0.03222958800745179,0.01,49,4,20
webis-touche2020,rr,3,0.01,active_judge,2,471,383,0,0,0.0,0.22072085993744564,0.07507133300091756,0.03222958800745179,0.01,49,4,20
webis-touche2020,rr,3,0.01,strat_pilot,2,464,383,0,0,0.0,0.07583481831095981,0.07507133300091756,0.03222958800745179,0.01,49,4,20
webis-touche2020,rr,3,0.01,weighted_cv,2,445,383,0,0,0.0,0.05355920869793246,0.07507133300091756,0.03222958800745179,0.01,49,4,20
