collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
trec-covid,rr,10,0.01,uniform,0,2102,1645,0,0,0.0,0.9629970637344716,0.28564178886436736,0.0649934121367802,0.01,50,17,28
trec-covid,rr,10,0.01,uniform_nz,0,2112,1645,0,0,0.0,0.5397851598742885,0.28564178886436736,0.0649934121367802,0.01,50,17,28
trec-covid,rr,10,0.01,weighted,0,2114,1645,1,0,0.0,0.28564178886436736,0.28564178886436736,0.0649934121367802,0.01,50,17,28
trec-covid,rr,10,0.01,active_judge,0,2109,1645,1,0,0.0,0.660067875207042,0.28564178886436736,0.0649934121367802,0.01,50,17,28
trec-covid,rr,10,0.01,strat_pilot,0,2123,1645,0,0,0.0,0.28601962351070725,0.28564178886436736,0.0649934121367802,0.01,50,17,28
trec-covid,rr,10,0.01,weighted_cv,0,2122,1645,1,0,0.0,0.10506768270054448,0.28564178886436736,0.0649934121367802,0.01,50,17,28
trec-covid,rr,10,0.01,active_cv,0,2085,1645,1,0,0.0,0.14545900006091045,0.28564178886436736,0.0649934121367802,0.01,50,17,28
trec-covid,rr,10,0.01,weighted_cvl,0,2112,1645,1,0,0.0,0.19026442381847214,0.28564178886436736,0.0649934121367802,0.01,50,17,28
trec-covid,rr,10,0.01,uniform,1,2178,1708,0,0,0.0,1.4774380165015089,0.3444343503660846,0.0928227050311286,0.01,50,17,28
trec-covid,rr,10,0.01,uniform_nz,1,2184,1708,0,0,0.0,0.8161277455511101,0.3444343503660846,0.0928227050311286,0.01,50,17,28
trec-covid,rr,10,0.01,weighted,1,2175,1708,1,0,0.0,0.3444343503660846,0.3444343503660846,0.0928227050311286,0.01,50,17,28
trec-covid,rr,10,0.01,active_judge,1,2177,1708,1,0,0.0,0.7663142965723887,0.3444343503660846,0.0928227050311286,0.01,50,17,28
trec-covid,rr,10,0.01,strat_pilot,1,2197,1708,1,0,0.0,0.356328386979742,0.3444343503660846,0.0928227050311286,0.01,50,17,28
trec-covid,rr,10,0.01,weighted_cv,1,2168,1708,1,0,0.0,0.1387824002980461,0.3444343503660846,0.0928227050311286,0.01,50,17,28
trec-covid,rr,10,0.01,active_cv,1,2206,1708,1,0,0.0,0.19710463954133978,0.3444343503660846,0.0928227050311286,0.01,50,17,28
trec-covid,rr,10,0.01,weighted_cvl,1,2205,1708,1,0,0.0,0.23147110388465575,0.3444343503660846,0.0928227050311286,0.01,50,17,28
trec-covid,rr,10,0.01,uniform,2,2148,1684,0,0,0.0,0.8141234539695572,0.2798031639880031,0.06250455598801778,0.01,50,17,28
trec-covid,rr,10,0.01,uniform_nz,2,2173,1684,0,0,0.0,0.4631956356924281,0.2798031639880031,0.06250455598801778,0.01,50,17,28
trec-covid,rr,10,0.01,weighted,2,2142,1684,1,0,0.0,0.2798031639880031,0.2798031639880031,0.06250455598801778,0.01,50,17,28
trec-covid,rr,10,0.01,active_judge,2,2157,1684,0,0,0.0,0.6230050969409209,0.2798031639880031,0.06250455598801778,0.01,50,17,28
trec-covid,rr,10,0.01,strat_pilot,2,2179,1684,1,0,0.0,0.28165578088817483,0.2798031639880031,0.06250455598801778,0.01,50,17,28
trec-covid,rr,10,0.01,weighted_cv,2,2169,1684,1,0,0.0,0.11829967148527545,0.2798031639880031,0.06250455598801778,0.01,50,17,28
trec-covid,rr,10,0.01,active_cv,2,2169,1684,1,0,0.0,0.15390119121146104,0.2798031639880031,0.06250455598801778,0.01,50,17,28
trec-covid,rr,10,0.01,weighted_cvl,2,2178,1684,1,0,0.0,0.2572109211160065,0.2798031639880031,0.06250455598801778,0.01,50,17,28
trec-covid,rr,10,0.01,uniform,3,2144,1688,0,0,0.0,2.2160914940261525,0.3476089929302771,0.09276764249840416,0.01,50,16,29
trec-covid,rr,10,0.01,uniform_nz,3,2157,1688,0,0,0.0,1.134556901783892,0.3476089929302771,0.09276764249840416,0.01,50,16,29
trec-covid,rr,10,0.01,weighted,3,2160,1688,1,0,0.0,0.3476089929302771,0.3476089929302771,0.09276764249840416,0.01,50,16,29
trec-covid,rr,10,0.01,active_judge,3,2146,1688,0,0,0.0,0.7472762287628708,0.3476089929302771,0.09276764249840416,0.01,50,16,29
trec-covid,rr,10,0.01,strat_pilot,3,2134,1688,1,0,0.0,0.35949122029351965,0.3476089929302771,0.09276764249840416,0.01,50,16,29
trec-covid,rr,10,0.01,weighted_cv,3,2130,1688,1,0,0.0,0.1268017787590556,0.3476089929302771,0.09276764249840416,0.01,50,16,29
trec-covid,rr,10,0.01,active_cv,3,2170,1688,1,0,0.0,0.18749605159108954,0.3476089929302771,0.09276764249840416,0.01,50,16,29
trec-covid,rr,10,0.01,weighted_cvl,3,2169,1688,0,0,0.0,0.3476089929302771,0.3476089929302771,0.09276764249840416,0.01,50,16,29
trec-covid,rr,10,0.01,uniform,4,2091,1621,0,0,0.0,1.6766512693404478,0.3205885125320438,0.09617576266515378,0.01,50,17,29
trec-covid,rr,10,0.01,uniform_nz,4,2138,1621,0,0,0.0,0.8396361673115417,0.3205885125320438,0.09617576266515378,0.01,50,17,29
trec-covid,rr,10,0.01,weighted,4,2122,1621,1,0,0.0,0.3205885125320438,0.3205885125320438,0.09617576266515378,0.01,50,17,29
trec-covid,rr,10,0.01,active_judge,4,2115,1621,0,0,0.0,0.7432518970289027,0.3205885125320438,0.09617576266515378,0.01,50,17,29
trec-covid,rr,10,0.01,strat_pilot,4,2084,1621,1,0,0.0,0.3253897424589616,0.3205885125320438,0.09617576266515378,0.01,50,17,29
trec-covid,rr,10,0.01,weighted_cv,4,2103,1621,1,0,0.0,0.09927911566019129,0.3205885125320438,0.09617576266515378,0.01,50,17,29
trec-covid,rr,10,0.01,active_cv,4,2116,1621,1,0,0.0,0.09523526594681135,0.3205885125320438,0.09617576266515378,0.01,50,17,29
trec-covid,rr,10,0.01,weighted_cvl,4,2097,1621,1,0,0.0,0.23129692010108469,0.3205885125320438,0.09617576266515378,0.01,50,17,29
trec-covid,rr,10,0.01,uniform,5,2170,1695,0,0,0.0,1.9803112452562561,0.3171639425563965,0.05496636052397441,0.01,50,17,28
trec-covid,rr,10,0.01,uniform_nz,5,2156,1695,0,0,0.0,0.9577399059936278,0.3171639425563965,0.05496636052397441,0.01,50,17,28
trec-covid,rr,10,0.01,weighted,5,2183,1695,1,0,0.0,0.3171639425563965,0.3171639425563965,0.05496636052397441,0.01,50,17,28
trec-covid,rr,10,0.01,active_judge,5,2149,1695,1,0,0.0,0.7395526722458385,0.3171639425563965,0.05496636052397441,0.01,50,17,28
trec-covid,rr,10,0.01,strat_pilot,5,2154,1695,1,0,0.0,0.3172122810716491,0.3171639425563965,0.05496636052397441,0.01,50,17,28
trec-covid,rr,10,0.01,weighted_cv,5,2144,1695,1,0,0.0,0.11447423015729334,0.3171639425563965,0.05496636052397441,0.01,50,17,28
trec-covid,rr,10,0.01,active_cv,5,2167,1695,1,0,0.0,0.1370745640690383,0.3171639425563965,0.05496636052397441,0.01,50,17,28
trec-covid,rr,10,0.01,weighted_cvl,5,2137,1695,1,0,0.0,0.2742486756654163,0.3171639425563965,0.05496636052397441,0.01,50,17,28
trec-covid,rr,10,0.01,uniform,6,2197,1676,0,0,0.0,2.1480838977203867,0.3275527134146684,0.14869240418745294,0.01,50,17,29
trec-covid,rr,10,0.01,uniform_nz,6,2183,1676,1,0,0.0,1.1158872518951408,0.3275527134146684,0.14869240418745294,0.01,50,17,29
trec-covid,rr,10,0.01,weighted,6,2165,1676,1,0,0.0,0.3275527134146684,0.3275527134146684,0.14869240418745294,0.01,50,17,29
trec-covid,rr,10,0.01,active_judge,6,2151,1676,0,0,0.0,0.8107745430465944,0.3275527134146684,0.14869240418745294,0.01,50,17,29
trec-covid,rr,10,0.01,strat_pilot,6,2178,1676,1,0,0.0,0.3464352749003662,0.3275527134146684,0.14869240418745294,0.01,50,17,29
trec-covid,rr,10,0.01,weighted_cv,6,2170,1676,1,0,0.0,0.14061689540160907,0.3275527134146684,0.14869240418745294,0.01,50,17,29
trec-covid,rr,10,0.01,active_cv,6,2167,1676,1,0,0.0,0.2141399980203353,0.3275527134146684,0.14869240418745294,0.01,50,17,29
trec-covid,rr,10,0.01,weighted_cvl,6,2162,1676,1,0,0.0,0.3275527134146684,0.3275527134146684,0.14869240418745294,0.01,50,17,29
trec-covid,rr,10,0.01,uniform,7,2162,1689,0,0,0.0,1.7393367936203254,0.288329270249175,0.08801877101220537,0.01,50,17,28
trec-covid,rr,10,0.01,uniform_nz,7,2169,1689,1,0,0.0,0.8958922221096206,0.288329270249175,0.08801877101220537,0.01,50,17,28
trec-covid,rr,10,0.01,weighted,7,2169,1689,1,0,0.0,0.288329270249175,0.288329270249175,0.08801877101220537,0.01,50,17,28
trec-covid,rr,10,0.01,active_judge,7,2154,1689,1,0,0.0,0.5975008924266145,0.288329270249175,0.08801877101220537,0.01,50,17,28
trec-covid,rr,10,0.01,strat_pilot,7,2127,1689,1,0,0.0,0.28944520022193865,0.288329270249175,0.08801877101220537,0.01,50,17,28
trec-covid,rr,10,0.01,weighted_cv,7,2160,1689,1,0,0.0,0.11775118975187007,0.288329270249175,0.08801877101220537,0.01,50,17,28
trec-covid,rr,10,0.01,active_cv,7,2139,1689,1,0,0.0,0.14482073788368968,0.288329270249175,0.08801877101220537,0.01,50,17,28
trec-covid,rr,10,0.01,weighted_cvl,7,2171,1689,1,0,0.0,0.288329270249175,0.288329270249175,0.08801877101220537,0.01,50,17,28
trec-covid,rr,10,0.01,uniform,8,2184,1711,0,0,0.0,0.9220704466938408,0.3317565086210986,0.04888493669192288,0.01,50,17,29
trec-covid,rr,10,0.01,uniform_nz,8,2216,1711,1,0,0.0,0.5742849377085459,0.3317565086210986,0.04888493669192288,0.01,50,17,29
trec-covid,rr,10,0.01,weighted,8,2209,1711,1,0,0.0,0.3317565086210986,0.3317565086210986,0.04888493669192288,0.01,50,17,29
trec-covid,rr,10,0.01,active_judge,8,2176,1711,1,0,0.0,0.7155683309678957,0.3317565086210986,0.04888493669192288,0.01,50,17,29
trec-covid,rr,10,0.01,strat_pilot,8,2180,1711,1,0,0.0,0.33191965960528097,0.3317565086210986,0.04888493669192288,0.01,50,17,29
trec-covid,rr,10,0.01,weighted_cv,8,2198,1711,1,0,0.0,0.13267742797014698,0.3317565086210986,0.04888493669192288,0.01,50,17,29
trec-covid,rr,10,0.01,active_cv,8,2212,1711,1,0,0.0,0.16390577846372872,0.3317565086210986,0.04888493669192288,0.01,50,17,29
trec-covid,rr,10,0.01,weighted_cvl,8,2198,1711,1,0,0.0,0.23773521058839336,0.3317565086210986,0.04888493669192288,0.01,50,17,29
trec-covid,rr,10,0.01,uniform,9,2170,1666,1,0,0.0,2.0504459434547724,0.3551003587092751,0.11239664365812432,0.01,50,17,29
trec-covid,rr,10,0.01,uniform_nz,9,2175,1666,0,0,0.0,1.0693062506736517,0.3551003587092751,0.11239664365812432,0.01,50,17,29
