collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound,act_iid,act_pilot_iid
trec-covid,rr,3,0.01,uniform,0.016666666666666666,0.0,1.5251344872852401,1811.7966666666666,1666.7633333333333,0.0,shared,full,t,0.01,0.02666666666666667
trec-covid,rr,3,0.01,uniform_nz,0.05,0.0,0.6588813200289675,1811.3733333333332,1666.7633333333333,0.0,shared,full,t,0.013333333333333334,0.06
trec-covid,rr,3,0.01,weighted,0.29333333333333333,0.0,0.2553159030719306,1810.16,1666.7633333333333,0.0,shared,full,t,0.10666666666666667,0.30666666666666664
trec-covid,rr,3,0.01,active_judge,0.09333333333333334,0.0,0.5806570196213554,1810.3533333333332,1666.7633333333333,0.0,shared,full,t,0.04,0.12333333333333334
trec-covid,rr,3,0.01,strat_pilot,0.28,0.0,0.26230531967926185,1811.0433333333333,1666.7633333333333,0.0,shared,full,t,0.12,0.2833333333333333
trec-covid,rr,3,0.01,weighted_cv,0.6266666666666667,0.0,0.10487098062036085,1811.98,1666.7633333333333,0.0,shared,full,t,0.20333333333333334,0.59
trec-covid,rr,3,0.01,active_cv,0.6266666666666667,0.0,0.1355346484280972,1811.6133333333332,1666.7633333333333,0.0,shared,full,t,0.22,0.59
trec-covid,rr,3,0.01,weighted_cvl,0.41,0.0,0.2017965706440934,1810.4033333333334,1666.7633333333333,0.0,shared,full,t,0.16666666666666666,0.39
trec-covid,rr,3,0.02,uniform,0.03666666666666667,0.0,1.394410426813719,1810.7833333333333,1665.49,0.0,shared,full,t,0.006666666666666667,0.03333333333333333
trec-covid,rr,3,0.02,uniform_nz,0.04666666666666667,0.0,0.7335647834449311,1810.4566666666667,1665.49,0.0,shared,full,t,0.023333333333333334,0.07333333333333333
trec-covid,rr,3,0.02,weighted,0.35,0.0,0.2549747514528654,1810.7266666666667,1665.49,0.0,shared,full,t,0.11,0.3466666666666667
trec-covid,rr,3,0.02,active_judge,0.12333333333333334,0.0,0.5751561157741514,1809.51,1665.49,0.0,shared,full,t,0.05,0.14333333333333334
trec-covid,rr,3,0.02,strat_pilot,0.32666666666666666,0.0,0.2591244819838351,1810.8433333333332,1665.49,0.0,shared,full,t,0.12,0.30333333333333334
trec-covid,rr,3,0.02,weighted_cv,0.76,0.0,0.10731923893246581,1809.63,1665.49,0.0,shared,full,t,0.2733333333333333,0.7266666666666667
trec-covid,rr,3,0.02,active_cv,0.6833333333333333,0.0,0.1362438742040772,1809.12,1665.49,0.0,shared,full,t,0.26,0.6166666666666667
trec-covid,rr,3,0.02,weighted_cvl,0.48,0.0,0.20469648460362833,1810.32,1665.49,0.0,shared,full,t,0.14333333333333334,0.44666666666666666
