collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,sb2_pilot,slack_true,n_queries,n_train,b,n_sampled,slack_xfit,slack_c0,sb2_c0,slack_c1,sb2_c1,v_pilot_c0,v_pilot_c1,v_pilot_ref_c0,v_pilot_ref_c1
trec-covid,rr,5,0.01,uniform,0,1870,1645,0,0,0.0,0.9629970637344716,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,9,26,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.9604371501019289,0.965556977367014,0.2853128306560305,0.28597074707270426
trec-covid,rr,5,0.01,uniform_nz,0,1879,1645,0,0,0.0,0.5397851598742885,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,9,26,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.5387925488460363,0.5407777709025411,0.2853128306560305,0.28597074707270426
trec-covid,rr,5,0.01,weighted,0,1883,1645,0,0,0.0,0.28564178886436736,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,9,26,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.2853128306560305,0.28597074707270426,0.2853128306560305,0.28597074707270426
trec-covid,rr,5,0.01,active_judge,0,1862,1645,0,0,0.0,0.660067875207042,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,9,26,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.6650696786479898,0.6550660717660943,0.2853128306560305,0.28597074707270426
trec-covid,rr,5,0.01,strat_pilot,0,1874,1645,0,0,0.0,0.28601962351070725,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,9,26,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.2857646839468127,0.2862745630746018,0.2853128306560305,0.28597074707270426
trec-covid,rr,5,0.01,weighted_cv,0,1888,1645,1,0,0.0,0.10506768270054448,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,9,26,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.10336936518257978,0.10676600021850913,0.2853128306560305,0.28597074707270426
trec-covid,rr,5,0.01,active_cv,0,1863,1645,1,0,0.0,0.14545900006091045,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,9,26,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.14389897066701218,0.14701902945480874,0.2853128306560305,0.28597074707270426
trec-covid,rr,5,0.01,weighted_cvl,0,1864,1645,1,0,0.0,0.19026442381847214,0.28564178886436736,0.0649934121367802,0.009089948335104382,0.01,50,20,9,26,0.0649934121367802,0.07050624052695667,0.010225679846764502,0.0649934121367802,0.009089948335104382,0.17597321931335858,0.20455562832358565,0.2853128306560305,0.28597074707270426
trec-covid,rr,5,0.01,uniform,1,1864,1631,0,0,0.0,0.888280108975658,0.29688494217784295,0.0736435177705809,0.019373918944737535,0.01,50,20,9,27,0.07320400045920279,0.07747320376668272,0.019684409397848712,0.0736435177705809,0.019373918944737535,0.8842042564322201,0.8923559615190959,0.2950179341413908,0.298751950214295
trec-covid,rr,5,0.01,uniform_nz,1,1858,1631,0,0,0.0,0.5074602455210486,0.29688494217784295,0.0736435177705809,0.019373918944737535,0.01,50,20,9,27,0.07320400045920279,0.07747320376668272,0.019684409397848712,0.0736435177705809,0.019373918944737535,0.5057635076608002,0.509156983381297,0.2950179341413908,0.298751950214295
