collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,sb2_pilot,slack_true,n_queries,n_train,b,n_sampled,slack_xfit,slack_c0,sb2_c0,slack_c1,sb2_c1,v_pilot_c0,v_pilot_c1,v_pilot_ref_c0,v_pilot_ref_c1
webis-touche2020,rr,1,0.01,uniform,0,780,748,0,0,0.0,0.1690084157623271,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,4,7,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.09386218491975437,0.24415464660489983,0.06685058125115562,0.07844309216159454
webis-touche2020,rr,1,0.01,uniform_nz,0,783,748,0,0,0.0,0.11360962419173481,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,4,7,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.07069877069430117,0.15652047768916846,0.06685058125115562,0.07844309216159454
webis-touche2020,rr,1,0.01,weighted,0,773,748,0,0,0.0,0.07264683670637508,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,4,7,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.06685058125115562,0.07844309216159454,0.06685058125115562,0.07844309216159454
webis-touche2020,rr,1,0.01,active_judge,0,774,748,0,0,0.0,0.20161876193205858,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,4,7,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.15127391574247184,0.2519636081216453,0.06685058125115562,0.07844309216159454
webis-touche2020,rr,1,0.01,strat_pilot,0,778,748,0,0,0.0,0.07340934952437157,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,4,7,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.06661807249700663,0.08020062655173651,0.06685058125115562,0.07844309216159454
webis-touche2020,rr,1,0.01,weighted_cv,0,773,748,1,0,0.0,0.056876719393441764,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,4,7,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.05741421873830792,0.056339220048575625,0.06685058125115562,0.07844309216159454
webis-touche2020,rr,1,0.01,active_cv,0,775,748,0,0,0.0,0.0968816797854182,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,4,7,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.08918362368700454,0.10457973588383182,0.06685058125115562,0.07844309216159454
webis-touche2020,rr,1,0.01,weighted_cvl,0,779,748,0,0,0.0,0.055331673812087236,0.07264683670637508,0.04540826831749886,0.009157078067720412,0.01,49,20,4,7,0.045408268317498876,0.09799683219302917,0.01554302596531957,0.04540826831749886,0.009157078067720412,0.0505293598450713,0.060133987779103185,0.06685058125115562,0.07844309216159454
webis-touche2020,rr,1,0.01,uniform,1,786,759,0,0,0.0,0.07622322494493257,0.040329489172327204,0.03795052214440756,0.0038223131159226147,0.01,49,20,4,6,0.03795052214440759,0.03795052214440756,0.0038223131159226147,0.11789916507060468,0.017215710269677307,0.057991666394455466,0.09445478349540966,0.02211597963662737,0.05854299870802702
webis-touche2020,rr,1,0.01,uniform_nz,1,781,759,0,0,0.0,0.05223028472134128,0.040329489172327204,0.03795052214440756,0.0038223131159226147,0.01,49,20,4,6,0.03795052214440759,0.03795052214440756,0.0038223131159226147,0.11789916507060468,0.017215710269677307,0.03615835508037437,0.06830221436230818,0.02211597963662737,0.05854299870802702
webis-touche2020,rr,1,0.01,weighted,1,790,759,0,0,0.0,0.040329489172327204,0.040329489172327204,0.03795052214440756,0.0038223131159226147,0.01,49,20,4,6,0.03795052214440759,0.03795052214440756,0.0038223131159226147,0.11789916507060468,0.017215710269677307,0.02211597963662737,0.05854299870802702,0.02211597963662737,0.05854299870802702
webis-touche2020,rr,1,0.01,active_judge,1,777,759,0,0,0.0,0.09082476236352101,0.040329489172327204,0.03795052214440756,0.0038223131159226147,0.01,49,20,4,6,0.03795052214440759,0.03795052214440756,0.0038223131159226147,0.11789916507060468,0.017215710269677307,0.04097360645262519,0.14067591827441683,0.02211597963662737,0.05854299870802702
webis-touche2020,rr,1,0.01,strat_pilot,1,782,759,0,0,0.0,0.04063345601744025,0.040329489172327204,0.03795052214440756,0.0038223131159226147,0.01,49,20,4,6,0.03795052214440759,0.03795052214440756,0.0038223131159226147,0.11789916507060468,0.017215710269677307,0.021718242927563018,0.0595486691073175,0.02211597963662737,0.05854299870802702
webis-touche2020,rr,1,0.01,weighted_cv,1,780,759,0,0,0.0,0.0356538637966987,0.040329489172327204,0.03795052214440756,0.0038223131159226147,0.01,49,20,4,6,0.03795052214440759,0.03795052214440756,0.0038223131159226147,0.11789916507060468,0.017215710269677307,0.020549594427938335,0.050758133165459074,0.02211597963662737,0.05854299870802702
webis-touche2020,rr,1,0.01,active_cv,1,785,759,0,0,0.0,0.06390400340776513,0.040329489172327204,0.03795052214440756,0.0038223131159226147,0.01,49,20,4,6,0.03795052214440759,0.03795052214440756,0.0038223131159226147,0.11789916507060468,0.017215710269677307,0.03480771984599157,0.09300028696953871,0.02211597963662737,0.05854299870802702
webis-touche2020,rr,1,0.01,weighted_cvl,1,789,759,0,0,0.0,0.03253101431961016,0.040329489172327204,0.03795052214440756,0.0038223131159226147,0.01,49,20,4,6,0.03795052214440759,0.03795052214440756,0.0038223131159226147,0.11789916507060468,0.017215710269677307,0.02036044133876424,0.04470158730045609,0.02211597963662737,0.05854299870802702
webis-touche2020,rr,1,0.01,uniform,2,783,763,0,0,0.0,0.08370249288108607,0.05472344528397953,0.061129046406523196,0.005430627601259212,0.01,49,20,4,6,0.061129046406523196,0.061129046406523196,0.005430627601259212,0.15074384901122795,0.03097280571534913,0.04868604850347401,0.11871893725869812,0.02630593567626476,0.08314095489169429
webis-touche2020,rr,1,0.01,uniform_nz,2,781,763,0,0,0.0,0.06338473478408256,0.05472344528397953,0.061129046406523196,0.005430627601259212,0.01,49,20,4,6,0.061129046406523196,0.061129046406523196,0.005430627601259212,0.15074384901122795,0.03097280571534913,0.0343699809868148,0.09239948858135033,0.02630593567626476,0.08314095489169429
webis-touche2020,rr,1,0.01,weighted,2,786,763,0,0,0.0,0.05472344528397953,0.05472344528397953,0.061129046406523196,0.005430627601259212,0.01,49,20,4,6,0.061129046406523196,0.061129046406523196,0.005430627601259212,0.15074384901122795,0.03097280571534913,0.02630593567626476,0.08314095489169429,0.02630593567626476,0.08314095489169429
webis-touche2020,rr,1,0.01,active_judge,2,781,763,0,0,0.0,0.12365085067661581,0.05472344528397953,0.061129046406523196,0.005430627601259212,0.01,49,20,4,6,0.061129046406523196,0.061129046406523196,0.005430627601259212,0.15074384901122795,0.03097280571534913,0.04987750122708079,0.19742420012615086,0.02630593567626476,0.08314095489169429
webis-touche2020,rr,1,0.01,strat_pilot,2,793,763,0,0,0.0,0.054928310816139914,0.05472344528397953,0.061129046406523196,0.005430627601259212,0.01,49,20,4,6,0.061129046406523196,0.061129046406523196,0.005430627601259212,0.15074384901122795,0.03097280571534913,0.025702184072730845,0.08415443755954899,0.02630593567626476,0.08314095489169429
webis-touche2020,rr,1,0.01,weighted_cv,2,786,763,0,0,0.0,0.050943971027648506,0.05472344528397953,0.061129046406523196,0.005430627601259212,0.01,49,20,4,6,0.061129046406523196,0.061129046406523196,0.005430627601259212,0.15074384901122795,0.03097280571534913,0.027180349726245036,0.07470759232905198,0.02630593567626476,0.08314095489169429
webis-touche2020,rr,1,0.01,active_cv,2,786,763,0,0,0.0,0.10723667892060391,0.05472344528397953,0.061129046406523196,0.005430627601259212,0.01,49,20,4,6,0.061129046406523196,0.061129046406523196,0.005430627601259212,0.15074384901122795,0.03097280571534913,0.04614454650577316,0.16832881133543465,0.02630593567626476,0.08314095489169429
webis-touche2020,rr,1,0.01,weighted_cvl,2,796,763,0,0,0.0,0.04654789830424943,0.05472344528397953,0.061129046406523196,0.005430627601259212,0.01,49,20,4,6,0.061129046406523196,0.061129046406523196,0.005430627601259212,0.15074384901122795,0.03097280571534913,0.02630593567626476,0.0667898609322341,0.02630593567626476,0.08314095489169429
webis-touche2020,rr,1,0.01,uniform,3,781,754,0,0,0.0,0.13323020148713544,0.03731964783236753,0.05983631299925553,0.0048485916966190526,0.01,49,20,4,6,0.05983631299925553,0.05983631299925553,0.0048485916966190526,0.12970910729793675,0.01699792468728906,0.0436994811306186,0.22276092184365223,0.016423094049006493,0.05821620161572858
webis-touche2020,rr,1,0.01,uniform_nz,3,771,754,0,0,0.0,0.06146772493323569,0.03731964783236753,0.05983631299925553,0.0048485916966190526,0.01,49,20,4,6,0.05983631299925553,0.05983631299925553,0.0048485916966190526,0.12970910729793675,0.01699792468728906,0.024891083839656304,0.09804436602681507,0.016423094049006493,0.05821620161572858
webis-touche2020,rr,1,0.01,weighted,3,780,754,0,0,0.0,0.03731964783236753,0.03731964783236753,0.05983631299925553,0.0048485916966190526,0.01,49,20,4,6,0.05983631299925553,0.05983631299925553,0.0048485916966190526,0.12970910729793675,0.01699792468728906,0.016423094049006493,0.05821620161572858,0.016423094049006493,0.05821620161572858
webis-touche2020,rr,1,0.01,active_judge,3,773,754,0,0,0.0,0.11914222344740129,0.03731964783236753,0.05983631299925553,0.0048485916966190526,0.01,49,20,4,6,0.05983631299925553,0.05983631299925553,0.0048485916966190526,0.12970910729793675,0.01699792468728906,0.039383223806984655,0.19890122308781794,0.016423094049006493,0.05821620161572858
webis-touche2020,rr,1,0.01,strat_pilot,3,774,754,1,0,0.0,0.03852642663940122,0.03731964783236753,0.05983631299925553,0.0048485916966190526,0.01,49,20,4,6,0.05983631299925553,0.05983631299925553,0.0048485916966190526,0.12970910729793675,0.01699792468728906,0.016121303416233454,0.06093154986256901,0.016423094049006493,0.05821620161572858
webis-touche2020,rr,1,0.01,weighted_cv,3,775,754,0,0,0.0,0.028084997893585706,0.03731964783236753,0.05983631299925553,0.0048485916966190526,0.01,49,20,4,6,0.05983631299925553,0.05983631299925553,0.0048485916966190526,0.12970910729793675,0.01699792468728906,0.014796709025786966,0.04137328676138445,0.016423094049006493,0.05821620161572858
webis-touche2020,rr,1,0.01,active_cv,3,781,754,0,0,0.0,0.047475052099434686,0.03731964783236753,0.05983631299925553,0.0048485916966190526,0.01,49,20,4,6,0.05983631299925553,0.05983631299925553,0.0048485916966190526,0.12970910729793675,0.01699792468728906,0.025426591921836838,0.06952351227703253,0.016423094049006493,0.05821620161572858
webis-touche2020,rr,1,0.01,weighted_cvl,3,774,754,0,0,0.0,0.02620949371076457,0.03731964783236753,0.05983631299925553,0.0048485916966190526,0.01,49,20,4,6,0.05983631299925553,0.05983631299925553,0.0048485916966190526,0.12970910729793675,0.01699792468728906,0.01429101026423967,0.03812797715728948,0.016423094049006493,0.05821620161572858
webis-touche2020,rr,1,0.01,uniform,4,786,774,0,0,0.0,0.07508524603766968,0.04284575552222443,0.04066884179220966,0.004229902712927663,0.01,49,20,4,6,0.04066884179220967,0.04066884179220966,0.004229902712927663,0.09897758348040288,0.019379992041931613,0.04971185405238852,0.10045863802295085,0.019516341025976724,0.06617517001847215
webis-touche2020,rr,1,0.01,uniform_nz,4,795,774,1,0,0.0,0.05111114548549398,0.04284575552222443,0.04066884179220966,0.004229902712927663,0.01,49,20,4,6,0.04066884179220967,0.04066884179220966,0.004229902712927663,0.09897758348040288,0.019379992041931613,0.03115062087812645,0.0710716700928615,0.019516341025976724,0.06617517001847215
webis-touche2020,rr,1,0.01,weighted,4,799,774,0,0,0.0,0.04284575552222443,0.04284575552222443,0.04066884179220966,0.004229902712927663,0.01,49,20,4,6,0.04066884179220967,0.04066884179220966,0.004229902712927663,0.09897758348040288,0.019379992041931613,0.019516341025976724,0.06617517001847215,0.019516341025976724,0.06617517001847215
webis-touche2020,rr,1,0.01,active_judge,4,802,774,0,0,0.0,0.0875279162613118,0.04284575552222443,0.04066884179220966,0.004229902712927663,0.01,49,20,4,6,0.04066884179220967,0.04066884179220966,0.004229902712927663,0.09897758348040288,0.019379992041931613,0.03417235217176418,0.1408834803508594,0.019516341025976724,0.06617517001847215
webis-touche2020,rr,1,0.01,strat_pilot,4,800,774,0,0,0.0,0.04338044944061877,0.04284575552222443,0.04066884179220966,0.004229902712927663,0.01,49,20,4,6,0.04066884179220967,0.04066884179220966,0.004229902712927663,0.09897758348040288,0.019379992041931613,0.01924995552910164,0.06751094335213592,0.019516341025976724,0.06617517001847215
webis-touche2020,rr,1,0.01,weighted_cv,4,792,774,0,0,0.0,0.038563236801176654,0.04284575552222443,0.04066884179220966,0.004229902712927663,0.01,49,20,4,6,0.04066884179220967,0.04066884179220966,0.004229902712927663,0.09897758348040288,0.019379992041931613,0.017926217363752415,0.0592002562386009,0.019516341025976724,0.06617517001847215
webis-touche2020,rr,1,0.01,active_cv,4,798,774,0,0,0.0,0.0754766745932471,0.04284575552222443,0.04066884179220966,0.004229902712927663,0.01,49,20,4,6,0.04066884179220967,0.04066884179220966,0.004229902712927663,0.09897758348040288,0.019379992041931613,0.03001525491905501,0.12093809426743915,0.019516341025976724,0.06617517001847215
webis-touche2020,rr,1,0.01,weighted_cvl,4,805,774,0,0,0.0,0.034108298898353165,0.04284575552222443,0.04066884179220966,0.004229902712927663,0.01,49,20,4,6,0.04066884179220967,0.04066884179220966,0.004229902712927663,0.09897758348040288,0.019379992041931613,0.016616788292884103,0.051599809503822223,0.019516341025976724,0.06617517001847215
webis-touche2020,rr,1,0.01,uniform,5,771,748,0,0,0.0,0.07519369124405109,0.049131169401022357,0.06475419423359927,0.005276999662022356,0.01,49,20,4,6,0.06475419423359927,0.06475419423359927,0.005276999662022356,0.13309796182351796,0.022046540663559506,0.043543458703328576,0.10684392378477359,0.023345991976133303,0.0749163468259114
webis-touche2020,rr,1,0.01,uniform_nz,5,774,748,0,0,0.0,0.05637121100552345,0.049131169401022357,0.06475419423359927,0.005276999662022356,0.01,49,20,4,6,0.06475419423359927,0.06475419423359927,0.005276999662022356,0.13309796182351796,0.022046540663559506,0.03188015128467225,0.08086227072637464,0.023345991976133303,0.0749163468259114
webis-touche2020,rr,1,0.01,weighted,5,779,748,0,0,0.0,0.049131169401022357,0.049131169401022357,0.06475419423359927,0.005276999662022356,0.01,49,20,4,6,0.06475419423359927,0.06475419423359927,0.005276999662022356,0.13309796182351796,0.022046540663559506,0.023345991976133303,0.0749163468259114,0.023345991976133303,0.0749163468259114
webis-touche2020,rr,1,0.01,active_judge,5,772,748,0,0,0.0,0.11679857419575213,0.049131169401022357,0.06475419423359927,0.005276999662022356,0.01,49,20,4,6,0.06475419423359927,0.06475419423359927,0.005276999662022356,0.13309796182351796,0.022046540663559506,0.04851037049514144,0.18508677789636283,0.023345991976133303,0.0749163468259114
webis-touche2020,rr,1,0.01,strat_pilot,5,775,748,0,0,0.0,0.04962559039429164,0.049131169401022357,0.06475419423359927,0.005276999662022356,0.01,49,20,4,6,0.06475419423359927,0.06475419423359927,0.005276999662022356,0.13309796182351796,0.022046540663559506,0.02311694118777969,0.07613423960080358,0.023345991976133303,0.0749163468259114
webis-touche2020,rr,1,0.01,weighted_cv,5,773,748,0,0,0.0,0.04299949581491806,0.049131169401022357,0.06475419423359927,0.005276999662022356,0.01,49,20,4,6,0.06475419423359927,0.06475419423359927,0.005276999662022356,0.13309796182351796,0.022046540663559506,0.02315510120288837,0.06284389042694774,0.023345991976133303,0.0749163468259114
webis-touche2020,rr,1,0.01,active_cv,5,773,748,0,0,0.0,0.08854734109357631,0.049131169401022357,0.06475419423359927,0.005276999662022356,0.01,49,20,4,6,0.06475419423359927,0.06475419423359927,0.005276999662022356,0.13309796182351796,0.022046540663559506,0.03790908271724804,0.13918559946990455,0.023345991976133303,0.0749163468259114
webis-touche2020,rr,1,0.01,weighted_cvl,5,778,748,0,0,0.0,0.037570747216992544,0.049131169401022357,0.06475419423359927,0.005276999662022356,0.01,49,20,4,6,0.06475419423359927,0.06475419423359927,0.005276999662022356,0.13309796182351796,0.022046540663559506,0.02011617373910066,0.05502532069488444,0.023345991976133303,0.0749163468259114
webis-touche2020,rr,1,0.01,uniform,6,816,784,0,0,0.0,0.14331239703916338,0.0507790324013915,0.05345200730504943,0.005487885400612133,0.01,49,20,4,6,0.05345200730504944,0.05345200730504943,0.005487885400612133,0.12470618105403573,0.02177331992278596,0.03633748222367956,0.25028731185464725,0.014597372393546573,0.08696069240923643
webis-touche2020,rr,1,0.01,uniform_nz,6,809,784,0,0,0.0,0.07357004196512149,0.0507790324013915,0.05345200730504943,0.005487885400612133,0.01,49,20,4,6,0.05345200730504944,0.05345200730504943,0.005487885400612133,0.12470618105403573,0.02177331992278596,0.023450465837008317,0.12368961809323464,0.014597372393546573,0.08696069240923643
webis-touche2020,rr,1,0.01,weighted,6,802,784,0,0,0.0,0.0507790324013915,0.0507790324013915,0.05345200730504943,0.005487885400612133,0.01,49,20,4,6,0.05345200730504944,0.05345200730504943,0.005487885400612133,0.12470618105403573,0.02177331992278596,0.014597372393546573,0.08696069240923643,0.014597372393546573,0.08696069240923643
webis-touche2020,rr,1,0.01,active_judge,6,814,784,0,0,0.0,0.13153083724677478,0.0507790324013915,0.05345200730504943,0.005487885400612133,0.01,49,20,4,6,0.05345200730504944,0.05345200730504943,0.005487885400612133,0.12470618105403573,0.02177331992278596,0.025401342040458012,0.23766033245309154,0.014597372393546573,0.08696069240923643
webis-touche2020,rr,1,0.01,strat_pilot,6,807,784,0,0,0.0,0.051772736759156134,0.0507790324013915,0.05345200730504943,0.005487885400612133,0.01,49,20,4,6,0.05345200730504944,0.05345200730504943,0.005487885400612133,0.12470618105403573,0.02177331992278596,0.014339393541127399,0.08920607997718487,0.014597372393546573,0.08696069240923643
webis-touche2020,rr,1,0.01,weighted_cv,6,805,784,0,0,0.0,0.037835412708061414,0.0507790324013915,0.05345200730504943,0.005487885400612133,0.01,49,20,4,6,0.05345200730504944,0.05345200730504943,0.005487885400612133,0.12470618105403573,0.02177331992278596,0.011802822010354272,0.06386800340576856,0.014597372393546573,0.08696069240923643
webis-touche2020,rr,1,0.01,active_cv,6,807,784,0,0,0.0,0.059599820751105995,0.0507790324013915,0.05345200730504943,0.005487885400612133,0.01,49,20,4,6,0.05345200730504944,0.05345200730504943,0.005487885400612133,0.12470618105403573,0.02177331992278596,0.016073217956508686,0.1031264235457033,0.014597372393546573,0.08696069240923643
