collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,slack_true,n_queries,b,n_sampled
webis-touche2020,rr,20,0.01,uniform,0,1372,748,1,0,0.0,0.1690084157623271,0.07264683670637508,0.04540826831749886,0.01,49,22,28
webis-touche2020,rr,20,0.01,uniform_nz,0,1342,748,1,0,0.0,0.11360962419173481,0.07264683670637508,0.04540826831749886,0.01,49,22,28
webis-touche2020,rr,20,0.01,weighted,0,1371,748,1,0,0.0,0.07264683670637508,0.07264683670637508,0.04540826831749886,0.01,49,22,28
webis-touche2020,rr,20,0.01,active_judge,0,1336,748,1,0,0.0,0.20161876193205858,0.07264683670637508,0.04540826831749886,0.01,49,22,28
webis-touche2020,rr,20,0.01,strat_pilot,0,1367,748,1,0,0.0,0.07340934952437157,0.07264683670637508,0.04540826831749886,0.01,49,22,28
webis-touche2020,rr,20,0.01,weighted_cv,0,1342,748,1,0,0.0,0.056876719393441764,0.07264683670637508,0.04540826831749886,0.01,49,22,28
webis-touche2020,rr,20,0.01,active_cv,0,1345,748,1,0,0.0,0.0968816797854182,0.07264683670637508,0.04540826831749886,0.01,49,22,28
webis-touche2020,rr,20,0.01,weighted_cvl,0,1357,748,1,0,0.0,0.055331673812087236,0.07264683670637508,0.04540826831749886,0.01,49,22,28
webis-touche2020,rr,20,0.01,uniform,1,1293,752,1,0,0.0,0.08976660850144962,0.051134459145934154,0.05341597948834789,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform_nz,1,1250,752,1,0,0.0,0.07092969529368255,0.051134459145934154,0.05341597948834789,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted,1,1246,752,1,0,0.0,0.051134459145934154,0.051134459145934154,0.05341597948834789,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_judge,1,1249,752,1,0,0.0,0.1327719741836806,0.051134459145934154,0.05341597948834789,0.01,49,20,27
webis-touche2020,rr,20,0.01,strat_pilot,1,1250,752,1,0,0.0,0.05148975638896697,0.051134459145934154,0.05341597948834789,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cv,1,1242,752,1,0,0.0,0.04320525217677003,0.051134459145934154,0.05341597948834789,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_cv,1,1252,752,1,0,0.0,0.09192005609536871,0.051134459145934154,0.05341597948834789,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cvl,1,1270,752,1,0,0.0,0.039430505199717636,0.051134459145934154,0.05341597948834789,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform,2,1269,754,1,0,0.0,0.15486805225541295,0.048673562552490314,0.04367578482748762,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform_nz,2,1267,754,1,0,0.0,0.07436456587365081,0.048673562552490314,0.04367578482748762,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted,2,1292,754,1,0,0.0,0.048673562552490314,0.048673562552490314,0.04367578482748762,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_judge,2,1261,754,1,0,0.0,0.13077325668053513,0.048673562552490314,0.04367578482748762,0.01,49,20,27
webis-touche2020,rr,20,0.01,strat_pilot,2,1300,754,1,0,0.0,0.0494749912478024,0.048673562552490314,0.04367578482748762,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cv,2,1292,754,1,0,0.0,0.03839543520689684,0.048673562552490314,0.04367578482748762,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_cv,2,1277,754,1,0,0.0,0.090222086829694,0.048673562552490314,0.04367578482748762,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cvl,2,1281,754,1,0,0.0,0.034194468363771505,0.048673562552490314,0.04367578482748762,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform,3,1280,743,1,0,0.0,0.07923356403631487,0.046927344970468146,0.05392062398099549,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform_nz,3,1233,743,1,0,0.0,0.06837751009389885,0.046927344970468146,0.05392062398099549,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted,3,1247,743,1,0,0.0,0.046927344970468146,0.046927344970468146,0.05392062398099549,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_judge,3,1253,743,1,0,0.0,0.10577275738764014,0.046927344970468146,0.05392062398099549,0.01,49,20,27
webis-touche2020,rr,20,0.01,strat_pilot,3,1250,743,1,0,0.0,0.04751358034182235,0.046927344970468146,0.05392062398099549,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cv,3,1249,743,1,0,0.0,0.042989881212181905,0.046927344970468146,0.05392062398099549,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_cv,3,1248,743,1,0,0.0,0.10008386262152222,0.046927344970468146,0.05392062398099549,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cvl,3,1258,743,1,0,0.0,0.03673895028391171,0.046927344970468146,0.05392062398099549,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform,4,1312,773,1,0,0.0,0.09361419515717209,0.054083325124264545,0.05271307167080487,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform_nz,4,1283,773,1,0,0.0,0.07407820204906113,0.054083325124264545,0.05271307167080487,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted,4,1292,773,1,0,0.0,0.054083325124264545,0.054083325124264545,0.05271307167080487,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_judge,4,1286,773,1,0,0.0,0.13497177031931407,0.054083325124264545,0.05271307167080487,0.01,49,20,27
webis-touche2020,rr,20,0.01,strat_pilot,4,1287,773,1,0,0.0,0.05567458416744252,0.054083325124264545,0.05271307167080487,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cv,4,1295,773,1,0,0.0,0.04602553744227478,0.054083325124264545,0.05271307167080487,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_cv,4,1276,773,1,0,0.0,0.09567100360267912,0.054083325124264545,0.05271307167080487,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cvl,4,1290,773,1,0,0.0,0.042759747249044064,0.054083325124264545,0.05271307167080487,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform,5,1307,772,1,0,0.0,0.16174019511404839,0.04954541715537913,0.06726582033975358,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform_nz,5,1296,772,1,0,0.0,0.08077632417315106,0.04954541715537913,0.06726582033975358,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted,5,1302,772,1,0,0.0,0.04954541715537913,0.04954541715537913,0.06726582033975358,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_judge,5,1278,772,1,0,0.0,0.1443564240299206,0.04954541715537913,0.06726582033975358,0.01,49,20,27
webis-touche2020,rr,20,0.01,strat_pilot,5,1293,772,1,0,0.0,0.05030034717848906,0.04954541715537913,0.06726582033975358,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cv,5,1281,772,1,0,0.0,0.03626376472727174,0.04954541715537913,0.06726582033975358,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_cv,5,1290,772,1,0,0.0,0.054140167036044094,0.04954541715537913,0.06726582033975358,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cvl,5,1287,772,1,0,0.0,0.0340292114732395,0.04954541715537913,0.06726582033975358,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform,6,1296,749,1,0,0.0,0.16042544970846323,0.056944621346237734,0.04876108220274663,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform_nz,6,1262,749,1,0,0.0,0.0844052650458472,0.056944621346237734,0.04876108220274663,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted,6,1271,749,1,0,0.0,0.056944621346237734,0.056944621346237734,0.04876108220274663,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_judge,6,1267,749,1,0,0.0,0.14684292266568433,0.056944621346237734,0.04876108220274663,0.01,49,20,27
webis-touche2020,rr,20,0.01,strat_pilot,6,1279,749,1,0,0.0,0.057625123433778645,0.056944621346237734,0.04876108220274663,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cv,6,1277,749,1,0,0.0,0.04811726322043456,0.056944621346237734,0.04876108220274663,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_cv,6,1278,749,1,0,0.0,0.103623375432583,0.056944621346237734,0.04876108220274663,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cvl,6,1277,749,1,0,0.0,0.045295487266300546,0.056944621346237734,0.04876108220274663,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform,7,1288,752,1,0,0.0,0.05621302599356063,0.02271151061061168,0.0473913536571364,0.01,49,20,27
webis-touche2020,rr,20,0.01,uniform_nz,7,1269,752,1,0,0.0,0.029919876278311754,0.02271151061061168,0.0473913536571364,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted,7,1292,752,1,0,0.0,0.02271151061061168,0.02271151061061168,0.0473913536571364,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_judge,7,1278,752,1,0,0.0,0.06464607568563743,0.02271151061061168,0.0473913536571364,0.01,49,20,27
webis-touche2020,rr,20,0.01,strat_pilot,7,1287,752,1,0,0.0,0.023172567108748078,0.02271151061061168,0.0473913536571364,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cv,7,1275,752,1,0,0.0,0.018243731040983976,0.02271151061061168,0.0473913536571364,0.01,49,20,27
webis-touche2020,rr,20,0.01,active_cv,7,1270,752,1,0,0.0,0.0334459993240583,0.02271151061061168,0.0473913536571364,0.01,49,20,27
webis-touche2020,rr,20,0.01,weighted_cvl,7,1297,752,1,0,0.0,0.017489049332185237,0.02271151061061168,0.0473913536571364,0.01,49,20,27
