collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,n_queries,cand
webis-touche2020,rr,2,0.01,uniform,0,748,0.1690084157623271,0.07264683670637508,0.04540826831749886,49,2
webis-touche2020,rr,2,0.01,uniform_nz,0,748,0.11360962419173481,0.07264683670637508,0.04540826831749886,49,2
webis-touche2020,rr,2,0.01,weighted,0,748,0.07264683670637508,0.07264683670637508,0.04540826831749886,49,2
webis-touche2020,rr,2,0.01,active_judge,0,748,0.20161876193205858,0.07264683670637508,0.04540826831749886,49,2
webis-touche2020,rr,2,0.01,strat_pilot,0,748,0.07340934952437157,0.07264683670637508,0.04540826831749886,49,2
webis-touche2020,rr,2,0.01,weighted_cv,0,748,0.056876719393441764,0.07264683670637508,0.04540826831749886,49,2
webis-touche2020,rr,2,0.01,active_cv,0,748,0.0968816797854182,0.07264683670637508,0.04540826831749886,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,0,748,0.055331673812087236,0.07264683670637508,0.04540826831749886,49,2
webis-touche2020,rr,2,0.01,uniform,1,760,0.0753505809803671,0.040752881962157,0.029900526988678157,49,2
webis-touche2020,rr,2,0.01,uniform_nz,1,760,0.050981659904895414,0.040752881962157,0.029900526988678157,49,2
webis-touche2020,rr,2,0.01,weighted,1,760,0.040752881962157,0.040752881962157,0.029900526988678157,49,2
webis-touche2020,rr,2,0.01,active_judge,1,760,0.09325410796973181,0.040752881962157,0.029900526988678157,49,2
webis-touche2020,rr,2,0.01,strat_pilot,1,760,0.04173706507375767,0.040752881962157,0.029900526988678157,49,2
webis-touche2020,rr,2,0.01,weighted_cv,1,760,0.03503391050612848,0.040752881962157,0.029900526988678157,49,2
webis-touche2020,rr,2,0.01,active_cv,1,760,0.07633379446090548,0.040752881962157,0.029900526988678157,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,1,760,0.03227286969783324,0.040752881962157,0.029900526988678157,49,2
webis-touche2020,rr,2,0.01,uniform,2,749,0.1376045565951392,0.03652754370266409,0.020374665109572233,49,0
webis-touche2020,rr,2,0.01,uniform_nz,2,749,0.05846123153258072,0.03652754370266409,0.020374665109572233,49,0
webis-touche2020,rr,2,0.01,weighted,2,749,0.03652754370266409,0.03652754370266409,0.020374665109572233,49,0
webis-touche2020,rr,2,0.01,active_judge,2,749,0.10889933441786867,0.03652754370266409,0.020374665109572233,49,0
webis-touche2020,rr,2,0.01,strat_pilot,2,749,0.03620454247563544,0.03652754370266409,0.020374665109572233,49,0
webis-touche2020,rr,2,0.01,weighted_cv,2,749,0.02953602680754309,0.03652754370266409,0.020374665109572233,49,0
webis-touche2020,rr,2,0.01,active_cv,2,749,0.0556449445607655,0.03652754370266409,0.020374665109572233,49,0
webis-touche2020,rr,2,0.01,weighted_cvl,2,749,0.028780188120685037,0.03652754370266409,0.020374665109572233,49,0
webis-touche2020,rr,2,0.01,uniform,3,744,0.13488880846940166,0.04138180907665536,0.04154647220273484,49,2
webis-touche2020,rr,2,0.01,uniform_nz,3,744,0.0637795979354429,0.04138180907665536,0.04154647220273484,49,2
webis-touche2020,rr,2,0.01,weighted,3,744,0.04138180907665536,0.04138180907665536,0.04154647220273484,49,2
webis-touche2020,rr,2,0.01,active_judge,3,744,0.11567340608542435,0.04138180907665536,0.04154647220273484,49,2
webis-touche2020,rr,2,0.01,strat_pilot,3,744,0.04192986525819904,0.04138180907665536,0.04154647220273484,49,2
webis-touche2020,rr,2,0.01,weighted_cv,3,744,0.03260700044310659,0.04138180907665536,0.04154647220273484,49,2
webis-touche2020,rr,2,0.01,active_cv,3,744,0.06420118931751036,0.04138180907665536,0.04154647220273484,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,3,744,0.029574245764740124,0.04138180907665536,0.04154647220273484,49,2
webis-touche2020,rr,2,0.01,uniform,4,761,0.1439134641550282,0.044385715278796714,0.02385195858493073,49,0
webis-touche2020,rr,2,0.01,uniform_nz,4,761,0.06650161012085307,0.044385715278796714,0.02385195858493073,49,0
webis-touche2020,rr,2,0.01,weighted,4,761,0.044385715278796714,0.044385715278796714,0.02385195858493073,49,0
