collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,sb2_pilot,n_queries,n_train,cand,slack_xfit,slack_c0,sb2_c0,slack_c1,sb2_c1,v_pilot_c0,v_pilot_c1,v_pilot_ref_c0,v_pilot_ref_c1
dbpedia-entity,rr,200,0.01,uniform,0,1043,1.3911595738847624,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,1.3060133540982322,1.4763057936712927,0.08550238193128198,0.08405615006552956
dbpedia-entity,rr,200,0.01,uniform_nz,0,1043,0.25324627090942015,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.24457383885864487,0.2619187029601953,0.08550238193128198,0.08405615006552956
dbpedia-entity,rr,200,0.01,weighted,0,1043,0.08477926599840577,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.08550238193128198,0.08405615006552956,0.08550238193128198,0.08405615006552956
dbpedia-entity,rr,200,0.01,active_judge,0,1043,0.4794245322886108,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.4490444096256333,0.5098046549515882,0.08550238193128198,0.08405615006552956
dbpedia-entity,rr,200,0.01,strat_pilot,0,1043,0.08494387842247206,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.0854696897717235,0.08441806707322067,0.08550238193128198,0.08405615006552956
dbpedia-entity,rr,200,0.01,weighted_cv,0,1043,0.0989563418453107,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.09394921993317512,0.10396346375744625,0.08550238193128198,0.08405615006552956
dbpedia-entity,rr,200,0.01,active_cv,0,1043,0.15336297544204305,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.13726859139386752,0.16945735949021865,0.08550238193128198,0.08405615006552956
dbpedia-entity,rr,200,0.01,weighted_cvl,0,1043,0.08477926599840577,0.08477926599840577,0.18671989478060527,0.08125274905268273,399,20,0,0.18132589632589635,0.18671989478060527,0.08125274905268273,0.20161741036741035,0.07838968801634151,0.08550238193128198,0.08405615006552956,0.08550238193128198,0.08405615006552956
dbpedia-entity,rr,200,0.01,uniform,1,1064,0.1306105934031645,0.05013455480245462,0.01940432340277542,0.0062091035738794514,399,20,2,-0.023978141369782234,0.01940432340277542,0.0062091035738794514,0.03583669592570522,0.01931037804300971,0.0678081382237342,0.19341304858259484,0.02783664645501735,0.07243246314989188
dbpedia-entity,rr,200,0.01,uniform_nz,1,1064,0.05423482407826748,0.05013455480245462,0.01940432340277542,0.0062091035738794514,399,20,2,-0.023978141369782234,0.01940432340277542,0.0062091035738794514,0.03583669592570522,0.01931037804300971,0.030501715759354696,0.07796793239718025,0.02783664645501735,0.07243246314989188
dbpedia-entity,rr,200,0.01,weighted,1,1064,0.05013455480245462,0.05013455480245462,0.01940432340277542,0.0062091035738794514,399,20,2,-0.023978141369782234,0.01940432340277542,0.0062091035738794514,0.03583669592570522,0.01931037804300971,0.02783664645501735,0.07243246314989188,0.02783664645501735,0.07243246314989188
dbpedia-entity,rr,200,0.01,active_judge,1,1064,0.11870694725304816,0.05013455480245462,0.01940432340277542,0.0062091035738794514,399,20,2,-0.023978141369782234,0.01940432340277542,0.0062091035738794514,0.03583669592570522,0.01931037804300971,0.046331459322980106,0.19108243518311624,0.02783664645501735,0.07243246314989188
dbpedia-entity,rr,200,0.01,strat_pilot,1,1064,0.05014572613128876,0.05013455480245462,0.01940432340277542,0.0062091035738794514,399,20,2,-0.023978141369782234,0.01940432340277542,0.0062091035738794514,0.03583669592570522,0.01931037804300971,0.027806130363175037,0.07248532189940246,0.02783664645501735,0.07243246314989188
dbpedia-entity,rr,200,0.01,weighted_cv,1,1064,0.03581007115182215,0.05013455480245462,0.01940432340277542,0.0062091035738794514,399,20,2,-0.023978141369782234,0.01940432340277542,0.0062091035738794514,0.03583669592570522,0.01931037804300971,0.021904250562984205,0.04971589174066011,0.02783664645501735,0.07243246314989188
dbpedia-entity,rr,200,0.01,active_cv,1,1064,0.04465860632527258,0.05013455480245462,0.01940432340277542,0.0062091035738794514,399,20,2,-0.023978141369782234,0.01940432340277542,0.0062091035738794514,0.03583669592570522,0.01931037804300971,0.019505643736801036,0.06981156891374411,0.02783664645501735,0.07243246314989188
dbpedia-entity,rr,200,0.01,weighted_cvl,1,1064,0.03657198003420927,0.05013455480245462,0.01940432340277542,0.0062091035738794514,399,20,2,-0.023978141369782234,0.01940432340277542,0.0062091035738794514,0.03583669592570522,0.01931037804300971,0.017829939110441374,0.055314020957977196,0.02783664645501735,0.07243246314989188
dbpedia-entity,rr,200,0.01,uniform,2,1017,0.2030971579145925,0.08749825233600979,0.015094448070589279,0.010238540043898963,399,20,2,-0.013289129136517357,0.06509141456980387,0.007113097178521574,0.015094448070589279,0.010238540043898963,0.20461316897743034,0.20158114685175463,0.10209475228974438,0.0729017523822752
dbpedia-entity,rr,200,0.01,uniform_nz,2,1017,0.10919269610722301,0.08749825233600979,0.015094448070589279,0.010238540043898963,399,20,2,-0.013289129136517357,0.06509141456980387,0.007113097178521574,0.015094448070589279,0.010238540043898963,0.10863902812510602,0.10974636408934002,0.10209475228974438,0.0729017523822752
dbpedia-entity,rr,200,0.01,weighted,2,1017,0.08749825233600979,0.08749825233600979,0.015094448070589279,0.010238540043898963,399,20,2,-0.013289129136517357,0.06509141456980387,0.007113097178521574,0.015094448070589279,0.010238540043898963,0.10209475228974438,0.0729017523822752,0.10209475228974438,0.0729017523822752
dbpedia-entity,rr,200,0.01,active_judge,2,1017,0.2454097969957179,0.08749825233600979,0.015094448070589279,0.010238540043898963,399,20,2,-0.013289129136517357,0.06509141456980387,0.007113097178521574,0.015094448070589279,0.010238540043898963,0.2575919228585062,0.2332276711329296,0.10209475228974438,0.0729017523822752
dbpedia-entity,rr,200,0.01,strat_pilot,2,1017,0.08764623282577874,0.08749825233600979,0.015094448070589279,0.010238540043898963,399,20,2,-0.013289129136517357,0.06509141456980387,0.007113097178521574,0.015094448070589279,0.010238540043898963,0.10324598575730481,0.07204647989425265,0.10209475228974438,0.0729017523822752
dbpedia-entity,rr,200,0.01,weighted_cv,2,1017,0.09297848943034538,0.08749825233600979,0.015094448070589279,0.010238540043898963,399,20,2,-0.013289129136517357,0.06509141456980387,0.007113097178521574,0.015094448070589279,0.010238540043898963,0.11668700380075347,0.06926997505993732,0.10209475228974438,0.0729017523822752
dbpedia-entity,rr,200,0.01,active_cv,2,1017,0.1347425320824602,0.08749825233600979,0.015094448070589279,0.010238540043898963,399,20,2,-0.013289129136517357,0.06509141456980387,0.007113097178521574,0.015094448070589279,0.010238540043898963,0.1613030109084458,0.1081820532564746,0.10209475228974438,0.0729017523822752
dbpedia-entity,rr,200,0.01,weighted_cvl,2,1017,0.06279061986291672,0.08749825233600979,0.015094448070589279,0.010238540043898963,399,20,2,-0.013289129136517357,0.06509141456980387,0.007113097178521574,0.015094448070589279,0.010238540043898963,0.07879601253597941,0.04678522718985404,0.10209475228974438,0.0729017523822752
dbpedia-entity,rr,200,0.01,uniform,3,1018,0.2429477905049065,0.10345325903405493,0.02727195793344299,0.013822037232825976,399,20,1,-0.03550705619541634,0.06584425613808749,0.019690713772660923,0.02727195793344299,0.013822037232825976,0.29315147934549923,0.19274410166431372,0.1343492938635214,0.07255722420458846
dbpedia-entity,rr,200,0.01,uniform_nz,3,1018,0.13311095997343397,0.10345325903405493,0.02727195793344299,0.013822037232825976,399,20,1,-0.03550705619541634,0.06584425613808749,0.019690713772660923,0.02727195793344299,0.013822037232825976,0.1576253782206793,0.10859654172618863,0.1343492938635214,0.07255722420458846
dbpedia-entity,rr,200,0.01,weighted,3,1018,0.10345325903405493,0.10345325903405493,0.02727195793344299,0.013822037232825976,399,20,1,-0.03550705619541634,0.06584425613808749,0.019690713772660923,0.02727195793344299,0.013822037232825976,0.1343492938635214,0.07255722420458846,0.1343492938635214,0.07255722420458846
dbpedia-entity,rr,200,0.01,active_judge,3,1018,0.2917384621214631,0.10345325903405493,0.02727195793344299,0.013822037232825976,399,20,1,-0.03550705619541634,0.06584425613808749,0.019690713772660923,0.02727195793344299,0.013822037232825976,0.3316928962960092,0.2517840279469171,0.1343492938635214,0.07255722420458846
dbpedia-entity,rr,200,0.01,strat_pilot,3,1018,0.10356867027268597,0.10345325903405493,0.02727195793344299,0.013822037232825976,399,20,1,-0.03550705619541634,0.06584425613808749,0.019690713772660923,0.02727195793344299,0.013822037232825976,0.13472301124424838,0.07241432930112363,0.1343492938635214,0.07255722420458846
dbpedia-entity,rr,200,0.01,weighted_cv,3,1018,0.07567429959723601,0.10345325903405493,0.02727195793344299,0.013822037232825976,399,20,1,-0.03550705619541634,0.06584425613808749,0.019690713772660923,0.02727195793344299,0.013822037232825976,0.10010281314764975,0.05124578604682227,0.1343492938635214,0.07255722420458846
dbpedia-entity,rr,200,0.01,active_cv,3,1018,0.09035977101870815,0.10345325903405493,0.02727195793344299,0.013822037232825976,399,20,1,-0.03550705619541634,0.06584425613808749,0.019690713772660923,0.02727195793344299,0.013822037232825976,0.11808858020737459,0.06263096183004171,0.1343492938635214,0.07255722420458846
dbpedia-entity,rr,200,0.01,weighted_cvl,3,1018,0.06233906943317376,0.10345325903405493,0.02727195793344299,0.013822037232825976,399,20,1,-0.03550705619541634,0.06584425613808749,0.019690713772660923,0.02727195793344299,0.013822037232825976,0.08676913061396918,0.037909008252378314,0.1343492938635214,0.07255722420458846
dbpedia-entity,rr,200,0.01,uniform,4,1005,0.328797270958035,0.07767841607963012,0.024387850259400934,0.009269830641836157,399,20,1,-0.0157958051318867,0.08975531195658183,0.018818674457608837,0.024387850259400934,0.009269830641836157,0.3926864026180011,0.2649081392980689,0.10647022759973483,0.04888660455952539
dbpedia-entity,rr,200,0.01,uniform_nz,4,1005,0.1882946783587324,0.07767841607963012,0.024387850259400934,0.009269830641836157,399,20,1,-0.0157958051318867,0.08975531195658183,0.018818674457608837,0.024387850259400934,0.009269830641836157,0.22108008848921074,0.15550926822825403,0.10647022759973483,0.04888660455952539
dbpedia-entity,rr,200,0.01,weighted,4,1005,0.07767841607963012,0.07767841607963012,0.024387850259400934,0.009269830641836157,399,20,1,-0.0157958051318867,0.08975531195658183,0.018818674457608837,0.024387850259400934,0.009269830641836157,0.10647022759973483,0.04888660455952539,0.10647022759973483,0.04888660455952539
dbpedia-entity,rr,200,0.01,active_judge,4,1005,0.15668354126824896,0.07767841607963012,0.024387850259400934,0.009269830641836157,399,20,1,-0.0157958051318867,0.08975531195658183,0.018818674457608837,0.024387850259400934,0.009269830641836157,0.21196937228483828,0.10139771025165964,0.10647022759973483,0.04888660455952539
dbpedia-entity,rr,200,0.01,strat_pilot,4,1005,0.07790464610721262,0.07767841607963012,0.024387850259400934,0.009269830641836157,399,20,1,-0.0157958051318867,0.08975531195658183,0.018818674457608837,0.024387850259400934,0.009269830641836157,0.10690939721307975,0.048899895001345534,0.10647022759973483,0.04888660455952539
dbpedia-entity,rr,200,0.01,weighted_cv,4,1005,0.06392026690986169,0.07767841607963012,0.024387850259400934,0.009269830641836157,399,20,1,-0.0157958051318867,0.08975531195658183,0.018818674457608837,0.024387850259400934,0.009269830641836157,0.07978312155803545,0.0480574122616879,0.10647022759973483,0.04888660455952539
dbpedia-entity,rr,200,0.01,active_cv,4,1005,0.07089454318498875,0.07767841607963012,0.024387850259400934,0.009269830641836157,399,20,1,-0.0157958051318867,0.08975531195658183,0.018818674457608837,0.024387850259400934,0.009269830641836157,0.09385936197842451,0.047929724391552984,0.10647022759973483,0.04888660455952539
