collection,judge,budget_full_eq,eps,method,act,wrong,var_est,docs_labelled,docs_pilot,dup_frac,sampling,pilot_cost,bound
dbpedia-entity,rr,45,0.01,uniform,0.10666666666666667,0.0033333333333333335,0.2796393825713188,2345.01,1027.6566666666668,0.0,shared,full,t
dbpedia-entity,rr,45,0.01,weighted,0.32,0.0,0.08963773279430903,2344.5133333333333,1027.6566666666668,0.0,shared,full,t
dbpedia-entity,rr,45,0.01,active_judge,0.13,0.0,0.20258753002976923,2342.7933333333335,1027.6566666666668,0.0,shared,full,t
dbpedia-entity,rr,45,0.01,strat_pilot,0.31,0.0,0.08995826003452187,2347.83,1027.6566666666668,0.0,shared,full,t
dbpedia-entity,rr,45,0.01,weighted_cv,0.3433333333333333,0.0,0.07961757349297095,2346.9066666666668,1027.6566666666668,0.0,shared,full,t
dbpedia-entity,rr,45,0.01,active_cv,0.28,0.0,0.10380208879298569,2346.89,1027.6566666666668,0.0,shared,full,t
dbpedia-entity,rr,45,0.01,weighted_cvl,0.4166666666666667,0.0,0.0656027893073503,2344.463333333333,1027.6566666666668,0.0,shared,full,t
dbpedia-entity,rr,45,0.02,uniform,0.20666666666666667,0.0,0.2320143940524622,2341.19,1030.2966666666666,0.0,shared,full,t
dbpedia-entity,rr,45,0.02,weighted,0.44333333333333336,0.0,0.08807533165928025,2339.01,1030.2966666666666,0.0,shared,full,t
dbpedia-entity,rr,45,0.02,active_judge,0.25666666666666665,0.0,0.19541407628463234,2338.3633333333332,1030.2966666666666,0.0,shared,full,t
dbpedia-entity,rr,45,0.02,strat_pilot,0.47,0.0,0.08750694610849678,2340.733333333333,1030.2966666666666,0.0,shared,full,t
dbpedia-entity,rr,45,0.02,weighted_cv,0.5333333333333333,0.0033333333333333335,0.07699156355310834,2342.423333333333,1030.2966666666666,0.0,shared,full,t
dbpedia-entity,rr,45,0.02,active_cv,0.4,0.0,0.10010470289188307,2335.96,1030.2966666666666,0.0,shared,full,t
dbpedia-entity,rr,45,0.02,weighted_cvl,0.62,0.0,0.06387816549784796,2338.48,1030.2966666666666,0.0,shared,full,t
