collection,judge,budget_full_eq,eps,method,draw,docs,pilot,act,wrong,regret,v_pilot,v_pilot_ref,slack_pilot,sb2_pilot,slack_true,n_queries,n_train,b,n_sampled,slack_xfit,slack_c0,sb2_c0,slack_c1,sb2_c1,v_pilot_c0,v_pilot_c1,v_pilot_ref_c0,v_pilot_ref_c1
neuclir_eng,rr,8,0.01,uniform,0,1604,1399,0,0,0.0,0.17088079494830397,0.03669206924130087,0.034059152597650376,0.004084139252383287,0.01,105,20,4,48,0.03405915259765037,0.06385843710665372,0.006039599090929855,0.034059152597650376,0.004084139252383287,0.18482927788604114,0.15693231201056684,0.044072993281141705,0.029311145201460033
neuclir_eng,rr,8,0.01,uniform_nz,0,1597,1399,0,0,0.0,0.044824023529491996,0.03669206924130087,0.034059152597650376,0.004084139252383287,0.01,105,20,4,48,0.03405915259765037,0.06385843710665372,0.006039599090929855,0.034059152597650376,0.004084139252383287,0.049769543250579654,0.03987850380840433,0.044072993281141705,0.029311145201460033
neuclir_eng,rr,8,0.01,weighted,0,1587,1399,0,0,0.0,0.03669206924130087,0.03669206924130087,0.034059152597650376,0.004084139252383287,0.01,105,20,4,48,0.03405915259765037,0.06385843710665372,0.006039599090929855,0.034059152597650376,0.004084139252383287,0.044072993281141705,0.029311145201460033,0.044072993281141705,0.029311145201460033
neuclir_eng,rr,8,0.01,active_judge,0,1569,1399,0,0,0.0,0.12236822779086823,0.03669206924130087,0.034059152597650376,0.004084139252383287,0.01,105,20,4,48,0.03405915259765037,0.06385843710665372,0.006039599090929855,0.034059152597650376,0.004084139252383287,0.14894979202975728,0.09578666355197915,0.044072993281141705,0.029311145201460033
neuclir_eng,rr,8,0.01,strat_pilot,0,1588,1399,0,0,0.0,0.03643641128055388,0.03669206924130087,0.034059152597650376,0.004084139252383287,0.01,105,20,4,48,0.03405915259765037,0.06385843710665372,0.006039599090929855,0.034059152597650376,0.004084139252383287,0.04357127592396502,0.029301546637142746,0.044072993281141705,0.029311145201460033
neuclir_eng,rr,8,0.01,weighted_cv,0,1594,1399,0,0,0.0,0.057164463880951866,0.03669206924130087,0.034059152597650376,0.004084139252383287,0.01,105,20,4,48,0.03405915259765037,0.06385843710665372,0.006039599090929855,0.034059152597650376,0.004084139252383287,0.07118285459704603,0.043146073164857704,0.044072993281141705,0.029311145201460033
neuclir_eng,rr,8,0.01,active_cv,0,1558,1399,0,0,0.0,0.1466840198592838,0.03669206924130087,0.034059152597650376,0.004084139252383287,0.01,105,20,4,48,0.03405915259765037,0.06385843710665372,0.006039599090929855,0.034059152597650376,0.004084139252383287,0.18429031494770093,0.1090777247708667,0.044072993281141705,0.029311145201460033
neuclir_eng,rr,8,0.01,weighted_cvl,0,1587,1399,0,0,0.0,0.03625518628040891,0.03669206924130087,0.034059152597650376,0.004084139252383287,0.01,105,20,4,48,0.03405915259765037,0.06385843710665372,0.006039599090929855,0.034059152597650376,0.004084139252383287,0.04319922735935779,0.029311145201460033,0.044072993281141705,0.029311145201460033
neuclir_eng,rr,8,0.01,uniform,1,1661,1469,0,0,0.0,0.263678409056675,0.06513890543259486,0.024462346917449293,0.004825752544219692,0.01,105,20,4,50,0.024462346917449293,0.040018693234580516,0.010499574500518919,0.024462346917449293,0.004825752544219692,0.27979835803036046,0.24755846008298957,0.06707868564781719,0.06319912521737252
neuclir_eng,rr,8,0.01,uniform_nz,1,1662,1469,0,0,0.0,0.07555986148903192,0.06513890543259486,0.024462346917449293,0.004825752544219692,0.01,105,20,4,50,0.024462346917449293,0.040018693234580516,0.010499574500518919,0.024462346917449293,0.004825752544219692,0.07885607706651399,0.07226364591154985,0.06707868564781719,0.06319912521737252
neuclir_eng,rr,8,0.01,weighted,1,1656,1469,0,0,0.0,0.06513890543259486,0.06513890543259486,0.024462346917449293,0.004825752544219692,0.01,105,20,4,50,0.024462346917449293,0.040018693234580516,0.010499574500518919,0.024462346917449293,0.004825752544219692,0.06707868564781719,0.06319912521737252,0.06707868564781719,0.06319912521737252
neuclir_eng,rr,8,0.01,active_judge,1,1667,1469,1,0,0.0,0.1720187835054789,0.06513890543259486,0.024462346917449293,0.004825752544219692,0.01,105,20,4,50,0.024462346917449293,0.040018693234580516,0.010499574500518919,0.024462346917449293,0.004825752544219692,0.17931216975219696,0.16472539725876084,0.06707868564781719,0.06319912521737252
neuclir_eng,rr,8,0.01,strat_pilot,1,1671,1469,0,0,0.0,0.06501463526201987,0.06513890543259486,0.024462346917449293,0.004825752544219692,0.01,105,20,4,50,0.024462346917449293,0.040018693234580516,0.010499574500518919,0.024462346917449293,0.004825752544219692,0.06678048180880727,0.06324878871523248,0.06707868564781719,0.06319912521737252
neuclir_eng,rr,8,0.01,weighted_cv,1,1647,1469,0,0,0.0,0.07931028062814527,0.06513890543259486,0.024462346917449293,0.004825752544219692,0.01,105,20,4,50,0.024462346917449293,0.040018693234580516,0.010499574500518919,0.024462346917449293,0.004825752544219692,0.08219140976689693,0.0764291514893936,0.06707868564781719,0.06319912521737252
neuclir_eng,rr,8,0.01,active_cv,1,1678,1469,0,0,0.0,0.17216176159731317,0.06513890543259486,0.024462346917449293,0.004825752544219692,0.01,105,20,4,50,0.024462346917449293,0.040018693234580516,0.010499574500518919,0.024462346917449293,0.004825752544219692,0.183266996805402,0.16105652638922432,0.06707868564781719,0.06319912521737252
neuclir_eng,rr,8,0.01,weighted_cvl,1,1661,1469,0,0,0.0,0.054917429485706194,0.06513890543259486,0.024462346917449293,0.004825752544219692,0.01,105,20,4,50,0.024462346917449293,0.040018693234580516,0.010499574500518919,0.024462346917449293,0.004825752544219692,0.055552608903282244,0.05428225006813013,0.06707868564781719,0.06319912521737252
neuclir_eng,rr,8,0.01,uniform,2,1683,1480,0,0,0.0,0.5667837434708828,0.0799794576951218,0.0834334422385893,0.020749776977767243,0.01,105,20,4,52,-0.04799910941455057,0.0834334422385893,0.020749776977767243,0.09865660757692236,0.02446970679895027,0.5562906794054909,0.5772768075362744,0.07929876977235004,0.08066014561789359
neuclir_eng,rr,8,0.01,uniform_nz,2,1695,1480,0,0,0.0,0.1602101397831059,0.0799794576951218,0.0834334422385893,0.020749776977767243,0.01,105,20,4,52,-0.04799910941455057,0.0834334422385893,0.020749776977767243,0.09865660757692236,0.02446970679895027,0.15699269139899732,0.16342758816721448,0.07929876977235004,0.08066014561789359
neuclir_eng,rr,8,0.01,weighted,2,1693,1480,0,0,0.0,0.0799794576951218,0.0799794576951218,0.0834334422385893,0.020749776977767243,0.01,105,20,4,52,-0.04799910941455057,0.0834334422385893,0.020749776977767243,0.09865660757692236,0.02446970679895027,0.07929876977235004,0.08066014561789359,0.07929876977235004,0.08066014561789359
neuclir_eng,rr,8,0.01,active_judge,2,1682,1480,0,0,0.0,0.21705998606727578,0.0799794576951218,0.0834334422385893,0.020749776977767243,0.01,105,20,4,52,-0.04799910941455057,0.0834334422385893,0.020749776977767243,0.09865660757692236,0.02446970679895027,0.219207701212357,0.21491227092219453,0.07929876977235004,0.08066014561789359
neuclir_eng,rr,8,0.01,strat_pilot,2,1695,1480,0,0,0.0,0.07954358748475424,0.0799794576951218,0.0834334422385893,0.020749776977767243,0.01,105,20,4,52,-0.04799910941455057,0.0834334422385893,0.020749776977767243,0.09865660757692236,0.02446970679895027,0.07883962891091822,0.08024754605859023,0.07929876977235004,0.08066014561789359
neuclir_eng,rr,8,0.01,weighted_cv,2,1688,1480,0,0,0.0,0.07892563110702042,0.0799794576951218,0.0834334422385893,0.020749776977767243,0.01,105,20,4,52,-0.04799910941455057,0.0834334422385893,0.020749776977767243,0.09865660757692236,0.02446970679895027,0.0753526588029025,0.08249860341113832,0.07929876977235004,0.08066014561789359
neuclir_eng,rr,8,0.01,active_cv,2,1686,1480,0,0,0.0,0.1550048259641265,0.0799794576951218,0.0834334422385893,0.020749776977767243,0.01,105,20,4,52,-0.04799910941455057,0.0834334422385893,0.020749776977767243,0.09865660757692236,0.02446970679895027,0.15059777384823156,0.1594118780800215,0.07929876977235004,0.08066014561789359
neuclir_eng,rr,8,0.01,weighted_cvl,2,1684,1480,1,0,0.0,0.0799794576951218,0.0799794576951218,0.0834334422385893,0.020749776977767243,0.01,105,20,4,52,-0.04799910941455057,0.0834334422385893,0.020749776977767243,0.09865660757692236,0.02446970679895027,0.07929876977235004,0.08066014561789359,0.07929876977235004,0.08066014561789359
neuclir_eng,rr,8,0.01,uniform,3,1679,1493,0,0,0.0,0.9858284118740004,0.0470762666469465,0.02339775105411028,0.007731827241158476,0.01,105,20,4,48,0.023397751054110273,0.05400850173215582,0.010846949677787933,0.02339775105411028,0.007731827241158476,1.0170468734462248,0.9546099503017762,0.05231613418457422,0.041836399109318814
neuclir_eng,rr,8,0.01,uniform_nz,3,1692,1493,0,0,0.0,0.12161886443256961,0.0470762666469465,0.02339775105411028,0.007731827241158476,0.01,105,20,4,48,0.023397751054110273,0.05400850173215582,0.010846949677787933,0.02339775105411028,0.007731827241158476,0.1266059449020151,0.1166317839631241,0.05231613418457422,0.041836399109318814
neuclir_eng,rr,8,0.01,weighted,3,1687,1493,0,0,0.0,0.0470762666469465,0.0470762666469465,0.02339775105411028,0.007731827241158476,0.01,105,20,4,48,0.023397751054110273,0.05400850173215582,0.010846949677787933,0.02339775105411028,0.007731827241158476,0.05231613418457422,0.041836399109318814,0.05231613418457422,0.041836399109318814
